seq,core,source_core_id,op_id,op,pipe,start,end,duration,minimum_duration,incoming_lag,cache_hit
85,5,4,300,ADD,PIPE_V,22127,22149,22,22,0,
86,5,4,148,RELU,PIPE_V,22149,22159,10,10,0,
87,5,4,149,ADD,PIPE_V,22159,22169,10,10,0,
88,5,4,150,CONV,PIPE_M,22169,22207,38,38,0,
89,5,4,151,ADD,PIPE_V,22207,22221,14,14,0,
90,5,4,152,RELU,PIPE_V,22221,22235,14,14,0,
91,5,4,153,CONV,PIPE_M,22235,22385,150,150,0,
92,5,4,154,RELU,PIPE_V,22385,22399,14,14,0,
93,5,4,155,CONV,PIPE_M,22399,22549,150,150,0,
94,5,4,156,RELU,PIPE_V,22549,22563,14,14,0,
95,5,4,157,ADD,PIPE_V,22563,22577,14,14,0,
96,5,4,158,CONV,PIPE_M,22577,22727,150,150,0,
97,5,4,159,RELU,PIPE_V,22727,22741,14,14,0,
98,5,4,160,CONV,PIPE_M,22741,22891,150,150,0,
99,5,4,161,RELU,PIPE_V,22891,22905,14,14,0,
100,5,4,162,ADD,PIPE_V,22905,22919,14,14,0,
101,5,4,163,CONV,PIPE_M,22919,22957,38,38,0,
102,5,4,164,ADD,PIPE_V,22957,22979,22,22,0,
103,5,4,165,RELU,PIPE_V,22979,23001,22,22,0,
104,5,4,166,CONV,PIPE_M,23001,23151,150,150,0,
105,5,4,167,RELU,PIPE_V,23151,23173,22,22,0,
106,5,4,168,CONV,PIPE_M,23173,23323,150,150,0,
107,5,4,169,RELU,PIPE_V,23323,23345,22,22,0,
108,5,4,170,ADD,PIPE_V,23345,23367,22,22,0,
109,5,4,171,CONV,PIPE_M,23367,23517,150,150,0,
110,5,4,172,RELU,PIPE_V,23517,23539,22,22,0,
111,5,4,173,CONV,PIPE_M,23539,23689,150,150,0,
112,5,4,174,RELU,PIPE_V,23689,23711,22,22,0,
113,5,4,175,ADD,PIPE_V,23711,23733,22,22,0,
114,5,4,398,RELU,PIPE_V,23733,23743,10,10,0,
115,5,4,399,ADD,PIPE_V,23743,23753,10,10,0,
116,5,4,400,CONV,PIPE_M,23753,23791,38,38,0,
117,5,4,401,ADD,PIPE_V,23791,23805,14,14,0,
118,5,4,402,RELU,PIPE_V,23805,23819,14,14,0,
119,5,4,403,CONV,PIPE_M,23819,23969,150,150,0,
120,5,4,404,RELU,PIPE_V,23969,23983,14,14,0,
121,5,4,405,CONV,PIPE_M,23983,24133,150,150,0,
122,5,4,406,RELU,PIPE_V,24133,24147,14,14,0,
123,5,4,407,ADD,PIPE_V,24147,24161,14,14,0,
124,5,4,408,CONV,PIPE_M,24161,24311,150,150,0,
125,5,4,409,RELU,PIPE_V,24311,24325,14,14,0,
126,5,4,410,CONV,PIPE_M,24325,24475,150,150,0,
127,5,4,411,RELU,PIPE_V,24475,24489,14,14,0,
128,5,4,412,ADD,PIPE_V,24489,24503,14,14,0,
129,5,4,413,CONV,PIPE_M,24503,24541,38,38,0,
130,5,4,414,ADD,PIPE_V,24541,24563,22,22,0,
131,5,4,415,RELU,PIPE_V,24563,24585,22,22,0,
132,5,4,416,CONV,PIPE_M,24585,24735,150,150,0,
133,5,4,417,RELU,PIPE_V,24735,24757,22,22,0,
134,5,4,418,CONV,PIPE_M,24757,24907,150,150,0,
135,5,4,419,RELU,PIPE_V,24907,24929,22,22,0,
136,5,4,420,ADD,PIPE_V,24929,24951,22,22,0,
137,5,4,421,CONV,PIPE_M,24951,25101,150,150,0,
138,5,4,422,RELU,PIPE_V,25101,25123,22,22,0,
139,5,4,423,CONV,PIPE_M,25123,25273,150,150,0,
140,5,4,424,RELU,PIPE_V,25273,25295,22,22,0,
141,5,4,425,ADD,PIPE_V,25295,25317,22,22,0,
142,5,4,523,RELU,PIPE_V,25317,25327,10,10,0,
143,5,4,524,ADD,PIPE_V,25327,25337,10,10,0,
144,5,4,525,CONV,PIPE_M,25337,25375,38,38,0,
145,5,4,526,ADD,PIPE_V,25375,25389,14,14,0,
146,5,4,527,RELU,PIPE_V,25389,25403,14,14,0,
147,5,4,528,CONV,PIPE_M,25403,25553,150,150,0,
148,5,4,529,RELU,PIPE_V,25553,25567,14,14,0,
149,5,4,530,CONV,PIPE_M,25567,25717,150,150,0,
150,5,4,531,RELU,PIPE_V,25717,25731,14,14,0,
151,5,4,532,ADD,PIPE_V,25731,25745,14,14,0,
152,5,4,533,CONV,PIPE_M,25745,25895,150,150,0,
153,5,4,534,RELU,PIPE_V,25895,25909,14,14,0,
154,5,4,535,CONV,PIPE_M,25909,26059,150,150,0,
155,5,4,536,RELU,PIPE_V,26059,26073,14,14,0,
156,5,4,537,ADD,PIPE_V,26073,26087,14,14,0,
157,5,4,538,CONV,PIPE_M,26087,26125,38,38,0,
158,5,4,539,ADD,PIPE_V,26125,26147,22,22,0,
159,5,4,540,RELU,PIPE_V,26147,26169,22,22,0,
160,5,4,541,CONV,PIPE_M,26169,26319,150,150,0,
161,5,4,542,RELU,PIPE_V,26319,26341,22,22,0,
162,5,4,543,CONV,PIPE_M,26341,26491,150,150,0,
163,5,4,544,RELU,PIPE_V,26491,26513,22,22,0,
164,5,4,545,ADD,PIPE_V,26513,26535,22,22,0,
165,5,4,546,CONV,PIPE_M,26535,26685,150,150,0,
166,5,4,547,RELU,PIPE_V,26685,26707,22,22,0,
167,5,4,548,CONV,PIPE_M,26707,26857,150,150,0,
168,5,4,549,RELU,PIPE_V,26857,26879,22,22,0,
169,5,4,550,ADD,PIPE_V,26879,26901,22,22,0,
170,5,4,648,RELU,PIPE_V,26901,26911,10,10,0,
171,5,4,649,ADD,PIPE_V,26911,26921,10,10,0,
172,5,4,650,CONV,PIPE_M,26921,26959,38,38,0,
173,5,4,651,ADD,PIPE_V,26959,26973,14,14,0,
174,5,4,652,RELU,PIPE_V,26973,26987,14,14,0,
175,5,4,653,CONV,PIPE_M,26987,27137,150,150,0,
176,5,4,654,RELU,PIPE_V,27137,27151,14,14,0,
177,5,4,655,CONV,PIPE_M,27151,27301,150,150,0,
178,5,4,656,RELU,PIPE_V,27301,27315,14,14,0,
179,5,4,657,ADD,PIPE_V,27315,27329,14,14,0,
180,5,4,658,CONV,PIPE_M,27329,27479,150,150,0,
181,5,4,659,RELU,PIPE_V,27479,27493,14,14,0,
182,5,4,660,CONV,PIPE_M,27493,27643,150,150,0,
183,5,4,661,RELU,PIPE_V,27643,27657,14,14,0,
184,5,4,662,ADD,PIPE_V,27657,27671,14,14,0,
185,5,4,663,CONV,PIPE_M,27671,27709,38,38,0,
186,5,4,664,ADD,PIPE_V,27709,27731,22,22,0,
187,5,4,665,RELU,PIPE_V,27731,27753,22,22,0,
188,5,4,666,CONV,PIPE_M,27753,27903,150,150,0,
189,5,4,667,RELU,PIPE_V,27903,27925,22,22,0,
190,5,4,668,CONV,PIPE_M,27925,28075,150,150,0,
191,5,4,669,RELU,PIPE_V,28075,28097,22,22,0,
192,5,4,670,ADD,PIPE_V,28097,28119,22,22,0,
193,5,4,671,CONV,PIPE_M,28119,28269,150,150,0,
194,5,4,672,RELU,PIPE_V,28269,28291,22,22,0,
195,5,4,673,CONV,PIPE_M,28291,28441,150,150,0,
196,5,4,674,RELU,PIPE_V,28441,28463,22,22,0,
197,5,4,675,ADD,PIPE_V,28463,28485,22,22,0,
198,5,4,773,RELU,PIPE_V,28485,28495,10,10,0,
199,5,4,774,ADD,PIPE_V,28495,28505,10,10,0,
200,5,4,775,CONV,PIPE_M,28505,28543,38,38,0,
201,5,4,776,ADD,PIPE_V,28543,28557,14,14,0,
202,5,4,777,RELU,PIPE_V,28557,28571,14,14,0,
203,5,4,778,CONV,PIPE_M,28571,28721,150,150,0,
204,5,4,779,RELU,PIPE_V,28721,28735,14,14,0,
205,5,4,780,CONV,PIPE_M,28735,28885,150,150,0,
206,5,4,781,RELU,PIPE_V,28885,28899,14,14,0,
207,5,4,782,ADD,PIPE_V,28899,28913,14,14,0,
208,5,4,783,CONV,PIPE_M,28913,29063,150,150,0,
209,5,4,784,RELU,PIPE_V,29063,29077,14,14,0,
210,5,4,785,CONV,PIPE_M,29077,29227,150,150,0,
211,5,4,786,RELU,PIPE_V,29227,29241,14,14,0,
212,5,4,787,ADD,PIPE_V,29241,29255,14,14,0,
213,5,4,788,CONV,PIPE_M,29255,29293,38,38,0,
214,5,4,789,ADD,PIPE_V,29293,29315,22,22,0,
215,5,4,790,RELU,PIPE_V,29315,29337,22,22,0,
216,5,4,791,CONV,PIPE_M,29337,29487,150,150,0,
217,5,4,792,RELU,PIPE_V,29487,29509,22,22,0,
218,5,4,793,CONV,PIPE_M,29509,29659,150,150,0,
219,5,4,794,RELU,PIPE_V,29659,29681,22,22,0,
220,5,4,795,ADD,PIPE_V,29681,29703,22,22,0,
221,5,4,796,CONV,PIPE_M,29703,29853,150,150,0,
222,5,4,797,RELU,PIPE_V,29853,29875,22,22,0,
223,5,4,798,CONV,PIPE_M,29875,30025,150,150,0,
224,5,4,799,RELU,PIPE_V,30025,30047,22,22,0,
225,5,4,800,ADD,PIPE_V,30047,30069,22,22,0,
226,5,4,898,RELU,PIPE_V,30069,30079,10,10,0,
227,5,4,899,ADD,PIPE_V,30079,30089,10,10,0,
228,5,4,900,CONV,PIPE_M,30089,30127,38,38,0,
229,5,4,901,ADD,PIPE_V,30127,30141,14,14,0,
230,5,4,902,RELU,PIPE_V,30141,30155,14,14,0,
231,5,4,903,CONV,PIPE_M,30155,30305,150,150,0,
232,5,4,904,RELU,PIPE_V,30305,30319,14,14,0,
233,5,4,905,CONV,PIPE_M,30319,30469,150,150,0,
234,5,4,906,RELU,PIPE_V,30469,30483,14,14,0,
235,5,4,907,ADD,PIPE_V,30483,30497,14,14,0,
236,5,4,908,CONV,PIPE_M,30497,30647,150,150,0,
237,5,4,909,RELU,PIPE_V,30647,30661,14,14,0,
238,5,4,910,CONV,PIPE_M,30661,30811,150,150,0,
239,5,4,911,RELU,PIPE_V,30811,30825,14,14,0,
240,5,4,912,ADD,PIPE_V,30825,30839,14,14,0,
241,5,4,913,CONV,PIPE_M,30839,30877,38,38,0,
242,5,4,914,ADD,PIPE_V,30877,30899,22,22,0,
243,5,4,915,RELU,PIPE_V,30899,30921,22,22,0,
244,5,4,916,CONV,PIPE_M,30921,31071,150,150,0,
245,5,4,917,RELU,PIPE_V,31071,31093,22,22,0,
246,5,4,918,CONV,PIPE_M,31093,31243,150,150,0,
247,5,4,919,RELU,PIPE_V,31243,31265,22,22,0,
248,5,4,920,ADD,PIPE_V,31265,31287,22,22,0,
249,5,4,921,CONV,PIPE_M,31287,31437,150,150,0,
250,5,4,922,RELU,PIPE_V,31437,31459,22,22,0,
251,5,4,923,CONV,PIPE_M,31459,31609,150,150,0,
252,5,4,924,RELU,PIPE_V,31609,31631,22,22,0,
253,5,4,925,ADD,PIPE_V,31631,31653,22,22,0,
254,5,4,1023,RELU,PIPE_V,31653,31663,10,10,0,
255,5,4,1024,ADD,PIPE_V,31663,31673,10,10,0,
256,5,4,1025,CONV,PIPE_M,31673,31711,38,38,0,
257,5,4,1026,ADD,PIPE_V,31711,31725,14,14,0,
258,5,4,1027,RELU,PIPE_V,31725,31739,14,14,0,
259,5,4,1028,CONV,PIPE_M,31739,31889,150,150,0,
260,5,4,1029,RELU,PIPE_V,31889,31903,14,14,0,
261,5,4,1030,CONV,PIPE_M,31903,32053,150,150,0,
262,5,4,1031,RELU,PIPE_V,32053,32067,14,14,0,
263,5,4,1032,ADD,PIPE_V,32067,32081,14,14,0,
264,5,4,1033,CONV,PIPE_M,32081,32231,150,150,0,
265,5,4,1034,RELU,PIPE_V,32231,32245,14,14,0,
266,5,4,1035,CONV,PIPE_M,32245,32395,150,150,0,
267,5,4,1036,RELU,PIPE_V,32395,32409,14,14,0,
268,5,4,1037,ADD,PIPE_V,32409,32423,14,14,0,
269,5,4,1038,CONV,PIPE_M,32423,32461,38,38,0,
270,5,4,1039,ADD,PIPE_V,32461,32483,22,22,0,
271,5,4,1040,RELU,PIPE_V,32483,32505,22,22,0,
272,5,4,1041,CONV,PIPE_M,32505,32655,150,150,0,
273,5,4,1042,RELU,PIPE_V,32655,32677,22,22,0,
274,5,4,1043,CONV,PIPE_M,32677,32827,150,150,0,
275,5,4,1044,RELU,PIPE_V,32827,32849,22,22,0,
276,5,4,1045,ADD,PIPE_V,32849,32871,22,22,0,
277,5,4,1046,CONV,PIPE_M,32871,33021,150,150,0,
278,5,4,1047,RELU,PIPE_V,33021,33043,22,22,0,
279,5,4,1048,CONV,PIPE_M,33043,33193,150,150,0,
280,5,4,1049,RELU,PIPE_V,33193,33215,22,22,0,
281,5,4,1050,ADD,PIPE_V,33215,33237,22,22,0,
282,5,4,1148,RELU,PIPE_V,33237,33247,10,10,0,
283,5,4,1149,ADD,PIPE_V,33247,33257,10,10,0,
284,5,4,1150,CONV,PIPE_M,33257,33295,38,38,0,
285,5,4,1151,ADD,PIPE_V,33295,33309,14,14,0,
286,5,4,1152,RELU,PIPE_V,33309,33323,14,14,0,
287,5,4,1153,CONV,PIPE_M,33323,33473,150,150,0,
288,5,4,1154,RELU,PIPE_V,33473,33487,14,14,0,
289,5,4,1155,CONV,PIPE_M,33487,33637,150,150,0,
290,5,4,1156,RELU,PIPE_V,33637,33651,14,14,0,
291,5,4,1157,ADD,PIPE_V,33651,33665,14,14,0,
292,5,4,1158,CONV,PIPE_M,33665,33815,150,150,0,
293,5,4,1159,RELU,PIPE_V,33815,33829,14,14,0,
294,5,4,1160,CONV,PIPE_M,33829,33979,150,150,0,
295,5,4,1161,RELU,PIPE_V,33979,33993,14,14,0,
296,5,4,1162,ADD,PIPE_V,33993,34007,14,14,0,
297,5,4,1163,CONV,PIPE_M,34007,34045,38,38,0,
298,5,4,1164,ADD,PIPE_V,34045,34067,22,22,0,
299,5,4,1165,RELU,PIPE_V,34067,34089,22,22,0,
300,5,4,1166,CONV,PIPE_M,34089,34239,150,150,0,
301,5,4,1167,RELU,PIPE_V,34239,34261,22,22,0,
302,5,4,1168,CONV,PIPE_M,34261,34411,150,150,0,
303,5,4,1169,RELU,PIPE_V,34411,34433,22,22,0,
304,5,4,1170,ADD,PIPE_V,34433,34455,22,22,0,
305,5,4,1171,CONV,PIPE_M,34455,34605,150,150,0,
306,5,4,1172,RELU,PIPE_V,34605,34627,22,22,0,
307,5,4,1173,CONV,PIPE_M,34627,34777,150,150,0,
308,5,4,1174,RELU,PIPE_V,34777,34799,22,22,0,
309,5,4,1175,ADD,PIPE_V,34799,34821,22,22,0,
310,5,4,1273,RELU,PIPE_V,34821,34831,10,10,0,
311,5,4,1274,ADD,PIPE_V,34831,34841,10,10,0,
312,5,4,1275,CONV,PIPE_M,34841,34879,38,38,0,
313,5,4,1276,ADD,PIPE_V,34879,34893,14,14,0,
314,5,4,1277,RELU,PIPE_V,34893,34907,14,14,0,
315,5,4,1278,CONV,PIPE_M,34907,35057,150,150,0,
316,5,4,1279,RELU,PIPE_V,35057,35071,14,14,0,
317,5,4,1280,CONV,PIPE_M,35071,35221,150,150,0,
318,5,4,1281,RELU,PIPE_V,35221,35235,14,14,0,
319,5,4,1282,ADD,PIPE_V,35235,35249,14,14,0,
320,5,4,1283,CONV,PIPE_M,35249,35399,150,150,0,
321,5,4,1284,RELU,PIPE_V,35399,35413,14,14,0,
322,5,4,1285,CONV,PIPE_M,35413,35563,150,150,0,
323,5,4,1286,RELU,PIPE_V,35563,35577,14,14,0,
324,5,4,1287,ADD,PIPE_V,35577,35591,14,14,0,
325,5,4,1288,CONV,PIPE_M,35591,35629,38,38,0,
326,5,4,1289,ADD,PIPE_V,35629,35651,22,22,0,
327,5,4,1290,RELU,PIPE_V,35651,35673,22,22,0,
328,5,4,1291,CONV,PIPE_M,35673,35823,150,150,0,
329,5,4,1292,RELU,PIPE_V,35823,35845,22,22,0,
330,5,4,1293,CONV,PIPE_M,35845,35995,150,150,0,
331,5,4,1294,RELU,PIPE_V,35995,36017,22,22,0,
332,5,4,1295,ADD,PIPE_V,36017,36039,22,22,0,
333,5,4,1296,CONV,PIPE_M,36039,36189,150,150,0,
334,5,4,1297,RELU,PIPE_V,36189,36211,22,22,0,
335,5,4,1298,CONV,PIPE_M,36211,36361,150,150,0,
336,5,4,1299,RELU,PIPE_V,36361,36383,22,22,0,
337,5,4,1300,ADD,PIPE_V,36383,36405,22,22,0,
338,5,4,1398,RELU,PIPE_V,36405,36415,10,10,0,
339,5,4,1399,ADD,PIPE_V,36415,36425,10,10,0,
340,5,4,1400,CONV,PIPE_M,36425,36463,38,38,0,
341,5,4,1401,ADD,PIPE_V,36463,36477,14,14,0,
342,5,4,1402,RELU,PIPE_V,36477,36491,14,14,0,
343,5,4,1403,CONV,PIPE_M,36491,36641,150,150,0,
344,5,4,1404,RELU,PIPE_V,36641,36655,14,14,0,
345,5,4,1405,CONV,PIPE_M,36655,36805,150,150,0,
346,5,4,1406,RELU,PIPE_V,36805,36819,14,14,0,
347,5,4,1407,ADD,PIPE_V,36819,36833,14,14,0,
348,5,4,1408,CONV,PIPE_M,36833,36983,150,150,0,
349,5,4,1409,RELU,PIPE_V,36983,36997,14,14,0,
350,5,4,1410,CONV,PIPE_M,36997,37147,150,150,0,
351,5,4,1411,RELU,PIPE_V,37147,37161,14,14,0,
352,5,4,1412,ADD,PIPE_V,37161,37175,14,14,0,
353,5,4,1413,CONV,PIPE_M,37175,37213,38,38,0,
354,5,4,1414,ADD,PIPE_V,37213,37235,22,22,0,
355,5,4,1415,RELU,PIPE_V,37235,37257,22,22,0,
356,5,4,1416,CONV,PIPE_M,37257,37407,150,150,0,
357,5,4,1417,RELU,PIPE_V,37407,37429,22,22,0,
358,5,4,1418,CONV,PIPE_M,37429,37579,150,150,0,
359,5,4,1419,RELU,PIPE_V,37579,37601,22,22,0,
360,5,4,1420,ADD,PIPE_V,37601,37623,22,22,0,
361,5,4,1421,CONV,PIPE_M,37623,37773,150,150,0,
362,5,4,1422,RELU,PIPE_V,37773,37795,22,22,0,
363,5,4,1423,CONV,PIPE_M,37795,37945,150,150,0,
364,5,4,1424,RELU,PIPE_V,37945,37967,22,22,0,
365,5,4,1425,ADD,PIPE_V,37967,37989,22,22,0,
366,5,4,1000002003,COPY_OUT,PIPE_MTE3,37989,38024,35,35,0,
