case_variant,task,core,stage,phase,start,end,duration,previous_core_task,previous_core_end,pred_tasks,remote_release_constraints,release,start_minus_release,idle_since_previous_core_task,gate_increment_over_all_ready,binding_remote_tasks,core_gate_binding,compute_work_by_pipe,pure_v_cycles,compute_max_pipe_cycles,local_makespan,duration_minus_local,local_minus_compute_max_pipe,estimated_finish
051-k4-chain-atomic-grain4,24,0,4,1,52192,52338,146,20,48645,"[20, 21, 22, 23]","{21: 52192, 22: 52192, 23: 52192}",52192,0,3547,1000,"[21, 22, 23]",False,{'PIPE_V': 143},143,143,146,0,3,41155
051-k4-chain-atomic-grain4,25,0,5,0,52438,59275,6837,24,52338,[24],{},52438,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,47543
051-k4-chain-atomic-grain4,26,1,5,0,53338,61822,8484,21,51192,[24],{24: 53338},53338,0,2146,1000,[24],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,48443
051-k4-chain-atomic-grain4,27,2,5,0,53338,61822,8484,22,51192,[24],{24: 53338},53338,0,2146,1000,[24],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,48443
051-k4-chain-atomic-grain4,28,3,5,0,53338,61822,8484,23,51192,[24],{24: 53338},53338,0,2146,1000,[24],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,48443
051-k4-chain-atomic-grain4,29,0,5,1,62822,62968,146,25,59275,"[25, 26, 27, 28]","{26: 62822, 27: 62822, 28: 62822}",62822,0,3547,1000,"[26, 27, 28]",False,{'PIPE_V': 143},143,143,146,0,3,49586
051-k4-chain-atomic-grain4,30,0,6,0,63068,69905,6837,29,62968,[29],{},63068,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,55974
051-k4-chain-atomic-grain4,31,1,6,0,63968,72452,8484,26,61822,[29],{29: 63968},63968,0,2146,1000,[29],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,56874
051-k4-chain-atomic-grain4,32,2,6,0,63968,72452,8484,27,61822,[29],{29: 63968},63968,0,2146,1000,[29],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,56874
051-k4-chain-atomic-grain4,33,3,6,0,63968,72452,8484,28,61822,[29],{29: 63968},63968,0,2146,1000,[29],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,56874
051-k4-chain-atomic-grain4,34,0,6,1,73452,73598,146,30,69905,"[30, 31, 32, 33]","{32: 73452, 33: 73452, 31: 73452}",73452,0,3547,1000,"[32, 33, 31]",False,{'PIPE_V': 143},143,143,146,0,3,58017
051-k4-chain-atomic-grain4,35,0,7,0,73698,80535,6837,34,73598,[34],{},73698,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,64405
051-k4-chain-atomic-grain4,36,1,7,0,74598,83082,8484,31,72452,[34],{34: 74598},74598,0,2146,1000,[34],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,65305
051-k4-chain-atomic-grain4,37,2,7,0,74598,83082,8484,32,72452,[34],{34: 74598},74598,0,2146,1000,[34],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,65305
051-k4-chain-atomic-grain4,38,3,7,0,74598,83082,8484,33,72452,[34],{34: 74598},74598,0,2146,1000,[34],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,65305
051-k4-chain-atomic-grain4,39,0,7,1,84082,84228,146,35,80535,"[35, 36, 37, 38]","{36: 84082, 37: 84082, 38: 84082}",84082,0,3547,1000,"[36, 37, 38]",False,{'PIPE_V': 143},143,143,146,0,3,66448
051-k4-chain-atomic-grain4,40,0,8,0,84328,91165,6837,39,84228,[39],{},84328,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,72836
051-k4-chain-atomic-grain4,41,1,8,0,85228,93712,8484,36,83082,[39],{39: 85228},85228,0,2146,1000,[39],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,73736
051-k4-chain-atomic-grain4,42,2,8,0,85228,93712,8484,37,83082,[39],{39: 85228},85228,0,2146,1000,[39],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,73736
051-k4-chain-atomic-grain4,43,3,8,0,85228,93712,8484,38,83082,[39],{39: 85228},85228,0,2146,1000,[39],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,73736
051-k4-chain-atomic-grain4,44,0,8,1,94712,94858,146,40,91165,"[40, 41, 42, 43]","{41: 94712, 42: 94712, 43: 94712}",94712,0,3547,1000,"[41, 42, 43]",False,{'PIPE_V': 143},143,143,146,0,3,74879
051-k4-chain-atomic-grain4,45,0,9,0,94958,101795,6837,44,94858,[44],{},94958,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,81267
051-k4-chain-atomic-grain4,46,1,9,0,95858,104342,8484,41,93712,[44],{44: 95858},95858,0,2146,1000,[44],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,82167
051-k4-chain-atomic-grain4,47,2,9,0,95858,104342,8484,42,93712,[44],{44: 95858},95858,0,2146,1000,[44],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,82167
051-k4-chain-atomic-grain4,48,3,9,0,95858,104342,8484,43,93712,[44],{44: 95858},95858,0,2146,1000,[44],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,82167
051-k4-chain-atomic-grain4,49,0,9,1,105342,105488,146,45,101795,"[45, 46, 47, 48]","{48: 105342, 46: 105342, 47: 105342}",105342,0,3547,1000,"[48, 46, 47]",False,{'PIPE_V': 143},143,143,146,0,3,83310
051-k4-chain-atomic-grain4,50,0,10,0,105588,112425,6837,49,105488,[49],{},105588,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,89698
051-k4-chain-atomic-grain4,51,1,10,0,106488,114972,8484,46,104342,[49],{49: 106488},106488,0,2146,1000,[49],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,90598
051-k4-chain-atomic-grain4,52,2,10,0,106488,114972,8484,47,104342,[49],{49: 106488},106488,0,2146,1000,[49],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,90598
051-k4-chain-atomic-grain4,53,3,10,0,106488,114972,8484,48,104342,[49],{49: 106488},106488,0,2146,1000,[49],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,90598
051-k4-chain-atomic-grain4,54,0,10,1,115972,116118,146,50,112425,"[50, 51, 52, 53]","{51: 115972, 52: 115972, 53: 115972}",115972,0,3547,1000,"[51, 52, 53]",False,{'PIPE_V': 143},143,143,146,0,3,91741
051-k4-chain-atomic-grain4,55,0,11,0,116218,123055,6837,54,116118,[54],{},116218,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,98129
051-k4-chain-atomic-grain4,56,1,11,0,117118,125602,8484,51,114972,[54],{54: 117118},117118,0,2146,1000,[54],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,99029
051-k4-chain-atomic-grain4,57,2,11,0,117118,125602,8484,52,114972,[54],{54: 117118},117118,0,2146,1000,[54],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,99029
051-k4-chain-atomic-grain4,58,3,11,0,117118,125602,8484,53,114972,[54],{54: 117118},117118,0,2146,1000,[54],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,99029
051-k4-chain-atomic-grain4,59,0,11,1,126602,126748,146,55,123055,"[55, 56, 57, 58]","{56: 126602, 57: 126602, 58: 126602}",126602,0,3547,1000,"[56, 57, 58]",False,{'PIPE_V': 143},143,143,146,0,3,100172
051-k4-chain-atomic-grain4,60,0,12,0,126848,133685,6837,59,126748,[59],{},126848,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,106560
051-k4-chain-atomic-grain4,61,1,12,0,127748,136232,8484,56,125602,[59],{59: 127748},127748,0,2146,1000,[59],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,107460
051-k4-chain-atomic-grain4,62,2,12,0,127748,136232,8484,57,125602,[59],{59: 127748},127748,0,2146,1000,[59],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,107460
051-k4-chain-atomic-grain4,63,3,12,0,127748,136232,8484,58,125602,[59],{59: 127748},127748,0,2146,1000,[59],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,107460
051-k4-chain-atomic-grain4,64,0,12,1,137232,137378,146,60,133685,"[60, 61, 62, 63]","{61: 137232, 62: 137232, 63: 137232}",137232,0,3547,1000,"[61, 62, 63]",False,{'PIPE_V': 143},143,143,146,0,3,108603
051-k4-chain-atomic-grain4,65,0,13,0,137478,144315,6837,64,137378,[64],{},137478,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,114991
051-k4-chain-atomic-grain4,66,1,13,0,138378,146862,8484,61,136232,[64],{64: 138378},138378,0,2146,1000,[64],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,115891
051-k4-chain-atomic-grain4,67,2,13,0,138378,146862,8484,62,136232,[64],{64: 138378},138378,0,2146,1000,[64],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,115891
051-k4-chain-atomic-grain4,68,3,13,0,138378,146862,8484,63,136232,[64],{64: 138378},138378,0,2146,1000,[64],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,115891
051-k4-chain-atomic-grain4,69,0,13,1,147862,148008,146,65,144315,"[65, 66, 67, 68]","{66: 147862, 67: 147862, 68: 147862}",147862,0,3547,1000,"[66, 67, 68]",False,{'PIPE_V': 143},143,143,146,0,3,117034
051-k4-chain-atomic-grain4,70,0,14,0,148108,154945,6837,69,148008,[69],{},148108,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,123422
051-k4-chain-atomic-grain4,71,1,14,0,149008,157492,8484,66,146862,[69],{69: 149008},149008,0,2146,1000,[69],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,124322
051-k4-chain-atomic-grain4,72,2,14,0,149008,157492,8484,67,146862,[69],{69: 149008},149008,0,2146,1000,[69],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,124322
051-k4-chain-atomic-grain4,73,3,14,0,149008,157492,8484,68,146862,[69],{69: 149008},149008,0,2146,1000,[69],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,124322
051-k4-chain-atomic-grain4,74,0,14,1,158492,158638,146,70,154945,"[70, 71, 72, 73]","{72: 158492, 73: 158492, 71: 158492}",158492,0,3547,1000,"[72, 73, 71]",False,{'PIPE_V': 143},143,143,146,0,3,125465
051-k4-chain-atomic-grain4,75,0,15,0,158738,165575,6837,74,158638,[74],{},158738,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,131853
051-k4-chain-atomic-grain4,76,1,15,0,159638,168122,8484,71,157492,[74],{74: 159638},159638,0,2146,1000,[74],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,132753
051-k4-chain-atomic-grain4,77,2,15,0,159638,168122,8484,72,157492,[74],{74: 159638},159638,0,2146,1000,[74],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,132753
051-k4-chain-atomic-grain4,78,3,15,0,159638,168122,8484,73,157492,[74],{74: 159638},159638,0,2146,1000,[74],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,132753
051-k4-chain-atomic-grain4,79,0,15,1,169122,169268,146,75,165575,"[75, 76, 77, 78]","{76: 169122, 77: 169122, 78: 169122}",169122,0,3547,1000,"[76, 77, 78]",False,{'PIPE_V': 143},143,143,146,0,3,133896
051-k4-chain-atomic-grain4,80,0,16,0,169368,176205,6837,79,169268,[79],{},169368,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,140284
051-k4-chain-atomic-grain4,81,1,16,0,170268,178752,8484,76,168122,[79],{79: 170268},170268,0,2146,1000,[79],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,141184
051-k4-chain-atomic-grain4,82,2,16,0,170268,178752,8484,77,168122,[79],{79: 170268},170268,0,2146,1000,[79],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,141184
051-k4-chain-atomic-grain4,83,3,16,0,170268,178752,8484,78,168122,[79],{79: 170268},170268,0,2146,1000,[79],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,141184
051-k4-chain-atomic-grain4,84,0,16,1,179752,179898,146,80,176205,"[80, 81, 82, 83]","{81: 179752, 82: 179752, 83: 179752}",179752,0,3547,1000,"[81, 82, 83]",False,{'PIPE_V': 143},143,143,146,0,3,142327
051-k4-chain-atomic-grain4,85,0,17,0,179998,186835,6837,84,179898,[84],{},179998,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,148715
051-k4-chain-atomic-grain4,86,1,17,0,180898,189382,8484,81,178752,[84],{84: 180898},180898,0,2146,1000,[84],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,149615
051-k4-chain-atomic-grain4,87,2,17,0,180898,189382,8484,82,178752,[84],{84: 180898},180898,0,2146,1000,[84],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,149615
051-k4-chain-atomic-grain4,88,3,17,0,180898,189382,8484,83,178752,[84],{84: 180898},180898,0,2146,1000,[84],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,149615
051-k4-chain-atomic-grain4,89,0,17,1,190382,190528,146,85,186835,"[85, 86, 87, 88]","{88: 190382, 86: 190382, 87: 190382}",190382,0,3547,1000,"[88, 86, 87]",False,{'PIPE_V': 143},143,143,146,0,3,150758
051-k4-chain-atomic-grain4,90,0,18,0,190628,197465,6837,89,190528,[89],{},190628,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,157146
051-k4-chain-atomic-grain4,91,1,18,0,191528,200012,8484,86,189382,[89],{89: 191528},191528,0,2146,1000,[89],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,158046
051-k4-chain-atomic-grain4,92,2,18,0,191528,200012,8484,87,189382,[89],{89: 191528},191528,0,2146,1000,[89],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,158046
051-k4-chain-atomic-grain4,93,3,18,0,191528,200012,8484,88,189382,[89],{89: 191528},191528,0,2146,1000,[89],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,158046
051-k4-chain-atomic-grain4,94,0,18,1,201012,201158,146,90,197465,"[90, 91, 92, 93]","{91: 201012, 92: 201012, 93: 201012}",201012,0,3547,1000,"[91, 92, 93]",False,{'PIPE_V': 143},143,143,146,0,3,159189
051-k4-chain-atomic-grain4,95,0,19,0,201258,208095,6837,94,201158,[94],{},201258,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,165577
051-k4-chain-atomic-grain4,96,1,19,0,202158,210642,8484,91,200012,[94],{94: 202158},202158,0,2146,1000,[94],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,166477
051-k4-chain-atomic-grain4,97,2,19,0,202158,210642,8484,92,200012,[94],{94: 202158},202158,0,2146,1000,[94],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,166477
051-k4-chain-atomic-grain4,98,3,19,0,202158,210642,8484,93,200012,[94],{94: 202158},202158,0,2146,1000,[94],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,166477
051-k4-chain-atomic-grain4,99,0,19,1,211642,211788,146,95,208095,"[95, 96, 97, 98]","{96: 211642, 97: 211642, 98: 211642}",211642,0,3547,1000,"[96, 97, 98]",False,{'PIPE_V': 143},143,143,146,0,3,167620
051-k4-chain-atomic-grain4,100,0,20,0,211888,218725,6837,99,211788,[99],{},211888,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,174008
051-k4-chain-atomic-grain4,101,1,20,0,212788,221272,8484,96,210642,[99],{99: 212788},212788,0,2146,1000,[99],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,174908
051-k4-chain-atomic-grain4,102,2,20,0,212788,221272,8484,97,210642,[99],{99: 212788},212788,0,2146,1000,[99],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,174908
051-k4-chain-atomic-grain4,103,3,20,0,212788,221272,8484,98,210642,[99],{99: 212788},212788,0,2146,1000,[99],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,174908
051-k4-chain-atomic-grain4,104,0,20,1,222272,222418,146,100,218725,"[100, 101, 102, 103]","{101: 222272, 102: 222272, 103: 222272}",222272,0,3547,1000,"[101, 102, 103]",False,{'PIPE_V': 143},143,143,146,0,3,176051
051-k4-chain-atomic-grain4,105,0,21,0,222518,229355,6837,104,222418,[104],{},222518,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,182439
051-k4-chain-atomic-grain4,106,1,21,0,223418,231902,8484,101,221272,[104],{104: 223418},223418,0,2146,1000,[104],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,183339
051-k4-chain-atomic-grain4,107,2,21,0,223418,231902,8484,102,221272,[104],{104: 223418},223418,0,2146,1000,[104],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,183339
051-k4-chain-atomic-grain4,108,3,21,0,223418,231902,8484,103,221272,[104],{104: 223418},223418,0,2146,1000,[104],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,183339
051-k4-chain-atomic-grain4,109,0,21,1,232902,233048,146,105,229355,"[105, 106, 107, 108]","{106: 232902, 107: 232902, 108: 232902}",232902,0,3547,1000,"[106, 107, 108]",False,{'PIPE_V': 143},143,143,146,0,3,184482
051-k4-chain-atomic-grain4,110,0,22,0,233148,239985,6837,109,233048,[109],{},233148,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,190870
051-k4-chain-atomic-grain4,111,1,22,0,234048,242532,8484,106,231902,[109],{109: 234048},234048,0,2146,1000,[109],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,191770
051-k4-chain-atomic-grain4,112,2,22,0,234048,242532,8484,107,231902,[109],{109: 234048},234048,0,2146,1000,[109],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,191770
051-k4-chain-atomic-grain4,113,3,22,0,234048,242532,8484,108,231902,[109],{109: 234048},234048,0,2146,1000,[109],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,191770
051-k4-chain-atomic-grain4,114,0,22,1,243532,243678,146,110,239985,"[110, 111, 112, 113]","{112: 243532, 113: 243532, 111: 243532}",243532,0,3547,1000,"[112, 113, 111]",False,{'PIPE_V': 143},143,143,146,0,3,192913
051-k4-chain-atomic-grain4,115,0,23,0,243778,250615,6837,114,243678,[114],{},243778,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,199301
051-k4-chain-atomic-grain4,116,1,23,0,244678,253162,8484,111,242532,[114],{114: 244678},244678,0,2146,1000,[114],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,200201
051-k4-chain-atomic-grain4,117,2,23,0,244678,253162,8484,112,242532,[114],{114: 244678},244678,0,2146,1000,[114],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,200201
051-k4-chain-atomic-grain4,118,3,23,0,244678,253162,8484,113,242532,[114],{114: 244678},244678,0,2146,1000,[114],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,200201
051-k4-chain-atomic-grain4,119,0,23,1,254162,254308,146,115,250615,"[115, 116, 117, 118]","{116: 254162, 117: 254162, 118: 254162}",254162,0,3547,1000,"[116, 117, 118]",False,{'PIPE_V': 143},143,143,146,0,3,201344
051-k5-chain-atomic-grain4,0,0,0,0,0,9669,9669,,0,[],{},0,0,0,0,[],False,{'PIPE_V': 6288},6288,6288,6884,2785,596,6288
051-k5-chain-atomic-grain4,1,1,0,0,0,9669,9669,,0,[],{},0,0,0,0,[],False,{'PIPE_V': 6288},6288,6288,6884,2785,596,6288
051-k5-chain-atomic-grain4,2,2,0,0,0,7576,7576,,0,[],{},0,0,0,0,[],False,{'PIPE_V': 4192},4192,4192,4764,2812,572,4192
051-k5-chain-atomic-grain4,3,3,0,0,0,7576,7576,,0,[],{},0,0,0,0,[],False,{'PIPE_V': 4192},4192,4192,4764,2812,572,4192
051-k5-chain-atomic-grain4,4,4,0,0,0,7576,7576,,0,[],{},0,0,0,0,[],False,{'PIPE_V': 4192},4192,4192,4764,2812,572,4192
051-k5-chain-atomic-grain4,5,0,0,1,10669,10815,146,0,9669,"[0, 1, 2, 3, 4]","{1: 10669, 2: 8576, 3: 8576, 4: 8576}",10669,0,1000,1000,[1],False,{'PIPE_V': 143},143,143,146,0,3,7431
051-k5-chain-atomic-grain4,6,0,1,0,10915,17752,6837,5,10815,[5],{},10915,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,13819
051-k5-chain-atomic-grain4,7,1,1,0,11815,21136,9321,1,9669,[5],{5: 11815},11815,0,2146,1000,[5],False,{'PIPE_V': 6288},6288,6288,6885,2436,597,14719
051-k5-chain-atomic-grain4,8,2,1,0,11815,19043,7228,2,7576,[5],{5: 11815},11815,0,4239,1000,[5],False,{'PIPE_V': 4192},4192,4192,4765,2463,573,12623
051-k5-chain-atomic-grain4,9,3,1,0,11815,19043,7228,3,7576,[5],{5: 11815},11815,0,4239,1000,[5],False,{'PIPE_V': 4192},4192,4192,4765,2463,573,12623
051-k5-chain-atomic-grain4,10,4,1,0,11815,19043,7228,4,7576,[5],{5: 11815},11815,0,4239,1000,[5],False,{'PIPE_V': 4192},4192,4192,4765,2463,573,12623
051-k5-chain-atomic-grain4,11,1,1,1,21236,21382,146,7,21136,"[6, 7, 8, 9, 10]","{6: 18752, 8: 20043, 9: 20043, 10: 20043}",21236,0,100,100,[],True,{'PIPE_V': 143},143,143,146,0,3,14962
051-k5-chain-atomic-grain4,12,0,2,0,22382,31703,9321,6,17752,[11],{11: 22382},22382,0,4630,1000,[11],False,{'PIPE_V': 6288},6288,6288,6885,2436,597,22250
051-k5-chain-atomic-grain4,13,1,2,0,21482,28319,6837,11,21382,[11],{},21482,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,21350
051-k5-chain-atomic-grain4,14,2,2,0,22382,29610,7228,8,19043,[11],{11: 22382},22382,0,3339,1000,[11],False,{'PIPE_V': 4192},4192,4192,4765,2463,573,20154
051-k5-chain-atomic-grain4,15,3,2,0,22382,29610,7228,9,19043,[11],{11: 22382},22382,0,3339,1000,[11],False,{'PIPE_V': 4192},4192,4192,4765,2463,573,20154
051-k5-chain-atomic-grain4,16,4,2,0,22382,29610,7228,10,19043,[11],{11: 22382},22382,0,3339,1000,[11],False,{'PIPE_V': 4192},4192,4192,4765,2463,573,20154
051-k5-chain-atomic-grain4,17,0,2,1,31803,31949,146,12,31703,"[12, 13, 14, 15, 16]","{13: 29319, 14: 30610, 15: 30610, 16: 30610}",31803,0,100,100,[],True,{'PIPE_V': 143},143,143,146,0,3,22493
051-k5-chain-atomic-grain4,18,0,3,0,32049,38886,6837,17,31949,[17],{},32049,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,28881
051-k5-chain-atomic-grain4,19,1,3,0,32949,42270,9321,13,28319,[17],{17: 32949},32949,0,4630,1000,[17],False,{'PIPE_V': 6288},6288,6288,6885,2436,597,29781
