Thu Sep 24 23:20:40 2026    ${REPO_ROOT}/results/a/q2-nikolastarx/constructor-profile-20260924/025-k4/profile.pstats

         5991671 function calls (5898037 primitive calls) in 1.287 seconds

   Ordered by: internal time
   List reduced from 383 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18663    0.004    0.000    0.006    0.000 stub_multicore_cut_and_schedule.py:133(<genexpr>)
        3    0.004    0.001    0.033    0.011 encoder.py:183(encode)
        1    0.003    0.003    1.287    1.287 direct_solve.py:1(<module>)
        1    0.003    0.003    1.282    1.282 direct_solve.py:42(main)
    74648    0.003    0.000    0.003    0.000 dag_direct.py:161(<lambda>)
    26660    0.002    0.000    0.002    0.000 {built-in method _heapq.heappush}
        5    0.002    0.000    0.014    0.003 {built-in method builtins.any}
    18663    0.002    0.000    0.003    0.000 stub_multicore_cut_and_schedule.py:162(<genexpr>)
    18665    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
58969/58949    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    18663    0.001    0.000    0.002    0.000 stub_multicore_cut_and_schedule.py:128(<genexpr>)
    37324    0.001    0.000    0.001    0.000 dag_direct.py:51(<genexpr>)
        2    0.001    0.001    0.001    0.001 {built-in method builtins.compile}
     5340    0.001    0.000    0.001    0.000 evaluation_validation.py:127(<genexpr>)
        1    0.001    0.001    1.212    1.212 direct_solve.py:26(build)
        4    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
    18662    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
    18714    0.001    0.000    0.001    0.000 {built-in method _json.encode_basestring}
    18662    0.001    0.000    0.001    0.000 {method 'isdecimal' of 'str' objects}
    18662    0.001    0.000    0.001    0.000 {method 'isascii' of 'str' objects}
        9    0.000    0.000    0.001    0.000 {built-in method _io.open}
    18663    0.000    0.000    0.000    0.000 stub_multicore_cut_and_schedule.py:153(<genexpr>)
      109    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     5333    0.000    0.000    0.000    0.000 stub_multicore_cut_and_schedule.py:207(<genexpr>)
     5355    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        2    0.000    0.000    0.000    0.000 {built-in method _heapq.heapify}
       13    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        3    0.000    0.000    0.034    0.011 __init__.py:183(dumps)
       45    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
       21    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
      193    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       27    0.000    0.000    0.000    0.000 evaluation_validation.py:29(_iter_settings)
      8/6    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
       24    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
     16/5    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       27    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        8    0.000    0.000    0.000    0.000 argparse.py:1451(add_argument)
       21    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        2    0.000    0.000    0.034    0.017 direct_solve.py:22(dump)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      7/5    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
       25    0.000    0.000    0.000    0.000 __init__.py:280(_compile)
       26    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
      108    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       26    0.000    0.000    0.000    0.000 pathlib.py:1157(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       24    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        1    0.000    0.000    0.000    0.000 argparse.py:1954(_parse_known_args)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        8    0.000    0.000    0.000    0.000 shutil.py:1422(get_terminal_size)


