stage,root_end,root_period,bound_root_end,bound_root_period
82,534654,6387,525303,6335
83,541041,6387,531638,6335
84,547428,6387,537973,6335
85,553815,6387,544308,6335
86,560202,6387,550643,6335
87,566589,6387,556978,6335
88,572976,6387,563313,6335
89,579363,6387,569648,6335
90,585750,6387,575983,6335
91,592137,6387,582318,6335
92,598524,6387,588653,6335
93,604911,6387,594988,6335
94,611298,6387,601323,6335
95,617685,6387,607658,6335
96,624072,6387,613993,6335
97,630459,6387,620328,6335
98,636846,6387,626663,6335
99,643233,6387,632998,6335
100,649620,6387,639333,6335
101,656007,6387,645668,6335
102,662394,6387,652003,6335
103,668781,6387,658338,6335
104,675168,6387,664673,6335
105,681555,6387,671008,6335
106,687942,6387,677343,6335
107,694329,6387,683678,6335
108,700716,6387,690013,6335
109,707103,6387,696348,6335
110,713490,6387,702683,6335
111,719877,6387,709018,6335
112,726264,6387,715353,6335
113,732651,6387,721688,6335
114,739038,6387,728023,6335
115,745425,6387,734358,6335
116,751812,6387,740693,6335
117,758199,6387,747028,6335
118,764586,6387,753363,6335
119,770973,6387,759698,6335
120,777360,6387,766033,6335
121,783747,6387,772368,6335
122,790134,6387,778703,6335
123,796521,6387,785038,6335
124,802908,6387,791373,6335
125,809295,6387,797708,6335
126,815682,6387,804043,6335
127,822069,6387,810378,6335
128,828456,6387,816713,6335
129,834843,6387,823048,6335
130,841230,6387,829383,6335
131,847617,6387,835718,6335
132,854004,6387,842053,6335
133,860391,6387,848388,6335
134,866778,6387,854723,6335
135,873165,6387,861058,6335
136,879552,6387,867393,6335
137,885939,6387,873728,6335
138,892326,6387,880063,6335
139,898713,6387,886398,6335
140,905100,6387,892733,6335
141,911487,6387,899068,6335
142,917874,6387,905403,6335
143,924261,6387,911738,6335
144,930648,6387,918073,6335
145,937035,6387,924408,6335
146,943422,6387,930743,6335
147,949809,6387,937078,6335
148,956196,6387,943413,6335
149,962583,6387,949748,6335
150,968970,6387,956083,6335
151,975357,6387,962418,6335
152,981744,6387,968753,6335
153,988131,6387,975088,6335
154,994518,6387,981423,6335
155,1000905,6387,987758,6335
156,1007292,6387,994093,6335
157,1013679,6387,1000428,6335
158,1020066,6387,1006763,6335
159,1026453,6387,1013098,6335
160,1032840,6387,1019433,6335
161,1039227,6387,1025768,6335
162,1045614,6387,1032103,6335
163,1052001,6387,1038438,6335
164,1058388,6387,1044773,6335
165,1064775,6387,1051108,6335
166,1071162,6387,1057443,6335
167,1077549,6387,1063778,6335
168,1083936,6387,1070113,6335
169,1090323,6387,1076448,6335
170,1096710,6387,1082783,6335
171,1103097,6387,1089118,6335
172,1109484,6387,1095453,6335
173,1115871,6387,1101788,6335
174,1122258,6387,1108123,6335
175,1128645,6387,1114458,6335
176,1135032,6387,1120793,6335
177,1141419,6387,1127128,6335
178,1147806,6387,1133463,6335
179,1154193,6387,1139798,6335
180,1160580,6387,1146133,6335
181,1166967,6387,1152468,6335
182,1173354,6387,1158803,6335
183,1179741,6387,1165138,6335
184,1186128,6387,1171473,6335
185,1192515,6387,1177808,6335
186,1198902,6387,1184143,6335
187,1205289,6387,1190478,6335
188,1211676,6387,1196813,6335
189,1218063,6387,1203148,6335
190,1224450,6387,1209483,6335
191,1230837,6387,1215818,6335
192,1237224,6387,1222153,6335
193,1243611,6387,1228488,6335
194,1249998,6387,1234823,6335
195,1256385,6387,1241158,6335
196,1262772,6387,1247493,6335
197,1269159,6387,1253828,6335
198,1275546,6387,1260163,6335
199,1281933,6387,1266498,6335
200,1288320,6387,1272833,6335
201,1294707,6387,1279168,6335
202,1301094,6387,1285503,6335
203,1307481,6387,1291838,6335
204,1313868,6387,1298173,6335
205,1320255,6387,1304508,6335
206,1326642,6387,1310843,6335
207,1333029,6387,1317178,6335
208,1339416,6387,1323513,6335
209,1345803,6387,1329848,6335
210,1352190,6387,1336183,6335
211,1358577,6387,1342518,6335
212,1364964,6387,1348853,6335
213,1371351,6387,1355188,6335
214,1377738,6387,1361523,6335
215,1384125,6387,1367858,6335
216,1390512,6387,1374193,6335
217,1396899,6387,1380528,6335
218,1403286,6387,1386863,6335
219,1409673,6387,1393198,6335
220,1416060,6387,1399533,6335
221,1422447,6387,1405868,6335
222,1428834,6387,1412203,6335
223,1435221,6387,1418538,6335
224,1441608,6387,1424873,6335
225,1447995,6387,1431208,6335
226,1454382,6387,1437543,6335
227,1460769,6387,1443878,6335
228,1467156,6387,1450213,6335
229,1473543,6387,1456548,6335
230,1479930,6387,1462883,6335
231,1486317,6387,1469218,6335
232,1492704,6387,1475553,6335
233,1499091,6387,1481888,6335
234,1505478,6387,1488223,6335
235,1511865,6387,1494558,6335
236,1518252,6387,1500893,6335
237,1524639,6387,1507228,6335
238,1531026,6387,1513563,6335
239,1537413,6387,1519898,6335
240,1543800,6387,1526233,6335
241,1550187,6387,1532568,6335
242,1556574,6387,1538903,6335
243,1562961,6387,1545238,6335
244,1569348,6387,1551573,6335
245,1575735,6387,1557908,6335
246,1582122,6387,1564243,6335
247,1588509,6387,1570578,6335
248,1594896,6387,1576913,6335
249,1601283,6387,1583248,6335
250,1607670,6387,1589583,6335
251,1614057,6387,1595918,6335
252,1620444,6387,1602253,6335
253,1626831,6387,1608588,6335
254,1633218,6387,1614923,6335
255,1639605,6387,1621258,6335
256,1645992,6387,1627593,6335
257,1652379,6387,1633928,6335
258,1658766,6387,1640263,6335
259,1665153,6387,1646598,6335
260,1671540,6387,1652933,6335
261,1677927,6387,1659268,6335
262,1684314,6387,1665603,6335
263,1690701,6387,1671938,6335
264,1697088,6387,1678273,6335
265,1703475,6387,1684608,6335
266,1709862,6387,1690943,6335
267,1716249,6387,1697278,6335
268,1722636,6387,1703613,6335
269,1729023,6387,1709948,6335
270,1735410,6387,1716283,6335
271,1741797,6387,1722618,6335
272,1748184,6387,1728953,6335
273,1754571,6387,1735288,6335
274,1760958,6387,1741623,6335
275,1767345,6387,1747958,6335
276,1773732,6387,1754293,6335
277,1780119,6387,1760628,6335
278,1786506,6387,1766963,6335
279,1792893,6387,1773298,6335
280,1799280,6387,1779633,6335
281,1805667,6387,1785968,6335
282,1812054,6387,1792303,6335
283,1818441,6387,1798638,6335
284,1824828,6387,1804973,6335
285,1831215,6387,1811308,6335
286,1837602,6387,1817643,6335
287,1843989,6387,1823978,6335
288,1850376,6387,1830313,6335
289,1856763,6387,1836648,6335
290,1863150,6387,1842983,6335
291,1869537,6387,1849318,6335
292,1875924,6387,1855653,6335
293,1882311,6387,1861988,6335
294,1888698,6387,1868323,6335
295,1895085,6387,1874658,6335
296,1901472,6387,1880993,6335
297,1907859,6387,1887328,6335
298,1914246,6387,1893663,6335
299,1920633,6387,1899998,6335
300,1927020,6387,1906333,6335
301,1933407,6387,1912668,6335
302,1939794,6387,1919003,6335
303,1946181,6387,1925338,6335
304,1952568,6387,1931673,6335
