stage,tensor,sender,receiver,prefix_last_op,prefix_end,sender_first_whole_op3,sender_first_whole_op3_start,sender_V_gap_before_whole_op3,sender_op3_start_minus_copy_out_end,copy_out_id,copy_out_start,copy_out_end,copy_out_duration,copy_in_id,copy_in_release,copy_in_start,copy_in_end,copy_in_duration,wait_after_release,previous_MTE2_op,previous_MTE2_end,wait_beyond_release_and_MTE2_predecessor,second_whole_op2,second_whole_op2_end,copy_start_minus_op2_end,same_core_ops_ending_at_copy_start,whole_last_op,whole_end,suffix_first_op,suffix_start,suffix_last_op,suffix_end,copy_finish_after_whole_end,suffix_gap,unexplained_suffix_delay,receiver_first_start,root_input_copy_end,root_tail_after_leaf_copy
13,1000000816,0,2,805,89114,814,90209,47,0,1000018681,89114,90209,1095,1000018682,90709,91212,92309,1097,503,1000018664,88068,503,785,91212,0,785,787,92260,806,92309,807,93357,49,49,0,88068,93859,92
13,1000000820,1,3,809,89115,822,90210,47,0,1000018687,89115,90210,1095,1000018688,90710,91213,92310,1097,503,1000018667,88069,503,793,91213,0,793,795,92261,810,92310,811,93358,49,49,0,88069,93860,91
14,1000000875,0,2,864,95501,873,96596,47,0,1000018729,95501,96596,1095,1000018730,97096,97599,98696,1097,503,1000018712,94455,503,844,97599,0,844,846,98647,865,98696,866,99744,49,49,0,94455,100246,92
14,1000000879,1,3,868,95502,881,96597,47,0,1000018735,95502,96597,1095,1000018736,97097,97600,98697,1097,503,1000018715,94456,503,852,97600,0,852,854,98648,869,98697,870,99745,49,49,0,94456,100247,91
15,1000000934,0,2,923,101888,932,102983,47,0,1000018777,101888,102983,1095,1000018778,103483,103986,105083,1097,503,1000018760,100842,503,903,103986,0,903,905,105034,924,105083,925,106131,49,49,0,100842,106633,92
15,1000000938,1,3,927,101889,940,102984,47,0,1000018783,101889,102984,1095,1000018784,103484,103987,105084,1097,503,1000018763,100843,503,911,103987,0,911,913,105035,928,105084,929,106132,49,49,0,100843,106634,91
16,1000000993,0,2,982,108275,991,109370,47,0,1000018825,108275,109370,1095,1000018826,109870,110373,111470,1097,503,1000018808,107229,503,962,110373,0,962,964,111421,983,111470,984,112518,49,49,0,107229,113020,92
16,1000000997,1,3,986,108276,999,109371,47,0,1000018831,108276,109371,1095,1000018832,109871,110374,111471,1097,503,1000018811,107230,503,970,110374,0,970,972,111422,987,111471,988,112519,49,49,0,107230,113021,91
17,1000001052,0,2,1041,114662,1050,115757,47,0,1000018873,114662,115757,1095,1000018874,116257,116760,117857,1097,503,1000018856,113616,503,1021,116760,0,1021,1023,117808,1042,117857,1043,118905,49,49,0,113616,119407,92
17,1000001056,1,3,1045,114663,1058,115758,47,0,1000018879,114663,115758,1095,1000018880,116258,116761,117858,1097,503,1000018859,113617,503,1029,116761,0,1029,1031,117809,1046,117858,1047,118906,49,49,0,113617,119408,91
18,1000001111,0,2,1100,121049,1109,122144,47,0,1000018921,121049,122144,1095,1000018922,122644,123147,124244,1097,503,1000018904,120003,503,1080,123147,0,1080,1082,124195,1101,124244,1102,125292,49,49,0,120003,125794,92
18,1000001115,1,3,1104,121050,1117,122145,47,0,1000018927,121050,122145,1095,1000018928,122645,123148,124245,1097,503,1000018907,120004,503,1088,123148,0,1088,1090,124196,1105,124245,1106,125293,49,49,0,120004,125795,91
19,1000001170,0,2,1159,127436,1168,128531,47,0,1000018969,127436,128531,1095,1000018970,129031,129534,130631,1097,503,1000018952,126390,503,1139,129534,0,1139,1141,130582,1160,130631,1161,131679,49,49,0,126390,132181,92
19,1000001174,1,3,1163,127437,1176,128532,47,0,1000018975,127437,128532,1095,1000018976,129032,129535,130632,1097,503,1000018955,126391,503,1147,129535,0,1147,1149,130583,1164,130632,1165,131680,49,49,0,126391,132182,91
20,1000001229,0,2,1218,133823,1227,134918,47,0,1000019017,133823,134918,1095,1000019018,135418,135921,137018,1097,503,1000019000,132777,503,1198,135921,0,1198,1200,136969,1219,137018,1220,138066,49,49,0,132777,138568,92
20,1000001233,1,3,1222,133824,1235,134919,47,0,1000019023,133824,134919,1095,1000019024,135419,135922,137019,1097,503,1000019003,132778,503,1206,135922,0,1206,1208,136970,1223,137019,1224,138067,49,49,0,132778,138569,91
21,1000001288,0,2,1277,140210,1286,141305,47,0,1000019065,140210,141305,1095,1000019066,141805,142308,143405,1097,503,1000019048,139164,503,1257,142308,0,1257,1259,143356,1278,143405,1279,144453,49,49,0,139164,144955,92
21,1000001292,1,3,1281,140211,1294,141306,47,0,1000019071,140211,141306,1095,1000019072,141806,142309,143406,1097,503,1000019051,139165,503,1265,142309,0,1265,1267,143357,1282,143406,1283,144454,49,49,0,139165,144956,91
22,1000001347,0,2,1336,146597,1345,147692,47,0,1000019113,146597,147692,1095,1000019114,148192,148695,149792,1097,503,1000019096,145551,503,1316,148695,0,1316,1318,149743,1337,149792,1338,150840,49,49,0,145551,151342,92
22,1000001351,1,3,1340,146598,1353,147693,47,0,1000019119,146598,147693,1095,1000019120,148193,148696,149793,1097,503,1000019099,145552,503,1324,148696,0,1324,1326,149744,1341,149793,1342,150841,49,49,0,145552,151343,91
23,1000001406,0,2,1395,152984,1404,154079,47,0,1000019161,152984,154079,1095,1000019162,154579,155082,156179,1097,503,1000019144,151938,503,1375,155082,0,1375,1377,156130,1396,156179,1397,157227,49,49,0,151938,157729,92
23,1000001410,1,3,1399,152985,1412,154080,47,0,1000019167,152985,154080,1095,1000019168,154580,155083,156180,1097,503,1000019147,151939,503,1383,155083,0,1383,1385,156131,1400,156180,1401,157228,49,49,0,151939,157730,91
24,1000001465,0,2,1454,159371,1463,160466,47,0,1000019209,159371,160466,1095,1000019210,160966,161469,162566,1097,503,1000019192,158325,503,1434,161469,0,1434,1436,162517,1455,162566,1456,163614,49,49,0,158325,164116,92
24,1000001469,1,3,1458,159372,1471,160467,47,0,1000019215,159372,160467,1095,1000019216,160967,161470,162567,1097,503,1000019195,158326,503,1442,161470,0,1442,1444,162518,1459,162567,1460,163615,49,49,0,158326,164117,91
25,1000001524,0,2,1513,165758,1522,166853,47,0,1000019257,165758,166853,1095,1000019258,167353,167856,168953,1097,503,1000019240,164712,503,1493,167856,0,1493,1495,168904,1514,168953,1515,170001,49,49,0,164712,170503,92
25,1000001528,1,3,1517,165759,1530,166854,47,0,1000019263,165759,166854,1095,1000019264,167354,167857,168954,1097,503,1000019243,164713,503,1501,167857,0,1501,1503,168905,1518,168954,1519,170002,49,49,0,164713,170504,91
26,1000001583,0,2,1572,172145,1581,173240,47,0,1000019305,172145,173240,1095,1000019306,173740,174243,175340,1097,503,1000019288,171099,503,1552,174243,0,1552,1554,175291,1573,175340,1574,176388,49,49,0,171099,176890,92
26,1000001587,1,3,1576,172146,1589,173241,47,0,1000019311,172146,173241,1095,1000019312,173741,174244,175341,1097,503,1000019291,171100,503,1560,174244,0,1560,1562,175292,1577,175341,1578,176389,49,49,0,171100,176891,91
27,1000001642,0,2,1631,178532,1640,179627,47,0,1000019353,178532,179627,1095,1000019354,180127,180630,181727,1097,503,1000019336,177486,503,1611,180630,0,1611,1613,181678,1632,181727,1633,182775,49,49,0,177486,183277,92
27,1000001646,1,3,1635,178533,1648,179628,47,0,1000019359,178533,179628,1095,1000019360,180128,180631,181728,1097,503,1000019339,177487,503,1619,180631,0,1619,1621,181679,1636,181728,1637,182776,49,49,0,177487,183278,91
28,1000001701,0,2,1690,184919,1699,186014,47,0,1000019401,184919,186014,1095,1000019402,186514,187017,188114,1097,503,1000019384,183873,503,1670,187017,0,1670,1672,188065,1691,188114,1692,189162,49,49,0,183873,189664,92
28,1000001705,1,3,1694,184920,1707,186015,47,0,1000019407,184920,186015,1095,1000019408,186515,187018,188115,1097,503,1000019387,183874,503,1678,187018,0,1678,1680,188066,1695,188115,1696,189163,49,49,0,183874,189665,91
29,1000001760,0,2,1749,191306,1758,192401,47,0,1000019449,191306,192401,1095,1000019450,192901,193404,194501,1097,503,1000019432,190260,503,1729,193404,0,1729,1731,194452,1750,194501,1751,195549,49,49,0,190260,196051,92
29,1000001764,1,3,1753,191307,1766,192402,47,0,1000019455,191307,192402,1095,1000019456,192902,193405,194502,1097,503,1000019435,190261,503,1737,193405,0,1737,1739,194453,1754,194502,1755,195550,49,49,0,190261,196052,91
30,1000001819,0,2,1808,197693,1817,198788,47,0,1000019497,197693,198788,1095,1000019498,199288,199791,200888,1097,503,1000019480,196647,503,1788,199791,0,1788,1790,200839,1809,200888,1810,201936,49,49,0,196647,202438,92
30,1000001823,1,3,1812,197694,1825,198789,47,0,1000019503,197694,198789,1095,1000019504,199289,199792,200889,1097,503,1000019483,196648,503,1796,199792,0,1796,1798,200840,1813,200889,1814,201937,49,49,0,196648,202439,91
31,1000001878,0,2,1867,204080,1876,205175,47,0,1000019545,204080,205175,1095,1000019546,205675,206178,207275,1097,503,1000019528,203034,503,1847,206178,0,1847,1849,207226,1868,207275,1869,208323,49,49,0,203034,208825,92
31,1000001882,1,3,1871,204081,1884,205176,47,0,1000019551,204081,205176,1095,1000019552,205676,206179,207276,1097,503,1000019531,203035,503,1855,206179,0,1855,1857,207227,1872,207276,1873,208324,49,49,0,203035,208826,91
32,1000001937,0,2,1926,210467,1935,211562,47,0,1000019593,210467,211562,1095,1000019594,212062,212565,213662,1097,503,1000019576,209421,503,1906,212565,0,1906,1908,213613,1927,213662,1928,214710,49,49,0,209421,215212,92
32,1000001941,1,3,1930,210468,1943,211563,47,0,1000019599,210468,211563,1095,1000019600,212063,212566,213663,1097,503,1000019579,209422,503,1914,212566,0,1914,1916,213614,1931,213663,1932,214711,49,49,0,209422,215213,91
33,1000001996,0,2,1985,216854,1994,217949,47,0,1000019641,216854,217949,1095,1000019642,218449,218952,220049,1097,503,1000019624,215808,503,1965,218952,0,1965,1967,220000,1986,220049,1987,221097,49,49,0,215808,221599,92
33,1000002000,1,3,1989,216855,2002,217950,47,0,1000019647,216855,217950,1095,1000019648,218450,218953,220050,1097,503,1000019627,215809,503,1973,218953,0,1973,1975,220001,1990,220050,1991,221098,49,49,0,215809,221600,91
34,1000002055,0,2,2044,223241,2053,224336,47,0,1000019689,223241,224336,1095,1000019690,224836,225339,226436,1097,503,1000019672,222195,503,2024,225339,0,2024,2026,226387,2045,226436,2046,227484,49,49,0,222195,227986,92
34,1000002059,1,3,2048,223242,2061,224337,47,0,1000019695,223242,224337,1095,1000019696,224837,225340,226437,1097,503,1000019675,222196,503,2032,225340,0,2032,2034,226388,2049,226437,2050,227485,49,49,0,222196,227987,91
35,1000002114,0,2,2103,229628,2112,230723,47,0,1000019737,229628,230723,1095,1000019738,231223,231726,232823,1097,503,1000019720,228582,503,2083,231726,0,2083,2085,232774,2104,232823,2105,233871,49,49,0,228582,234373,92
35,1000002118,1,3,2107,229629,2120,230724,47,0,1000019743,229629,230724,1095,1000019744,231224,231727,232824,1097,503,1000019723,228583,503,2091,231727,0,2091,2093,232775,2108,232824,2109,233872,49,49,0,228583,234374,91
36,1000002173,0,2,2162,236015,2171,237110,47,0,1000019785,236015,237110,1095,1000019786,237610,238113,239210,1097,503,1000019768,234969,503,2142,238113,0,2142,2144,239161,2163,239210,2164,240258,49,49,0,234969,240760,92
36,1000002177,1,3,2166,236016,2179,237111,47,0,1000019791,236016,237111,1095,1000019792,237611,238114,239211,1097,503,1000019771,234970,503,2150,238114,0,2150,2152,239162,2167,239211,2168,240259,49,49,0,234970,240761,91
37,1000002232,0,2,2221,242402,2230,243497,47,0,1000019833,242402,243497,1095,1000019834,243997,244500,245597,1097,503,1000019816,241356,503,2201,244500,0,2201,2203,245548,2222,245597,2223,246645,49,49,0,241356,247147,92
37,1000002236,1,3,2225,242403,2238,243498,47,0,1000019839,242403,243498,1095,1000019840,243998,244501,245598,1097,503,1000019819,241357,503,2209,244501,0,2209,2211,245549,2226,245598,2227,246646,49,49,0,241357,247148,91
38,1000002291,0,2,2280,248789,2289,249884,47,0,1000019881,248789,249884,1095,1000019882,250384,250887,251984,1097,503,1000019864,247743,503,2260,250887,0,2260,2262,251935,2281,251984,2282,253032,49,49,0,247743,253534,92
38,1000002295,1,3,2284,248790,2297,249885,47,0,1000019887,248790,249885,1095,1000019888,250385,250888,251985,1097,503,1000019867,247744,503,2268,250888,0,2268,2270,251936,2285,251985,2286,253033,49,49,0,247744,253535,91
39,1000002350,0,2,2339,255176,2348,256271,47,0,1000019929,255176,256271,1095,1000019930,256771,257274,258371,1097,503,1000019912,254130,503,2319,257274,0,2319,2321,258322,2340,258371,2341,259419,49,49,0,254130,259921,92
39,1000002354,1,3,2343,255177,2356,256272,47,0,1000019935,255177,256272,1095,1000019936,256772,257275,258372,1097,503,1000019915,254131,503,2327,257275,0,2327,2329,258323,2344,258372,2345,259420,49,49,0,254131,259922,91
40,1000002409,0,2,2398,261563,2407,262658,47,0,1000019977,261563,262658,1095,1000019978,263158,263661,264758,1097,503,1000019960,260517,503,2378,263661,0,2378,2380,264709,2399,264758,2400,265806,49,49,0,260517,266308,92
40,1000002413,1,3,2402,261564,2415,262659,47,0,1000019983,261564,262659,1095,1000019984,263159,263662,264759,1097,503,1000019963,260518,503,2386,263662,0,2386,2388,264710,2403,264759,2404,265807,49,49,0,260518,266309,91
41,1000002468,0,2,2457,267950,2466,269045,47,0,1000020025,267950,269045,1095,1000020026,269545,270048,271145,1097,503,1000020008,266904,503,2437,270048,0,2437,2439,271096,2458,271145,2459,272193,49,49,0,266904,272695,92
41,1000002472,1,3,2461,267951,2474,269046,47,0,1000020031,267951,269046,1095,1000020032,269546,270049,271146,1097,503,1000020011,266905,503,2445,270049,0,2445,2447,271097,2462,271146,2463,272194,49,49,0,266905,272696,91
42,1000002527,0,2,2516,274337,2525,275432,47,0,1000020073,274337,275432,1095,1000020074,275932,276435,277532,1097,503,1000020056,273291,503,2496,276435,0,2496,2498,277483,2517,277532,2518,278580,49,49,0,273291,279082,92
42,1000002531,1,3,2520,274338,2533,275433,47,0,1000020079,274338,275433,1095,1000020080,275933,276436,277533,1097,503,1000020059,273292,503,2504,276436,0,2504,2506,277484,2521,277533,2522,278581,49,49,0,273292,279083,91
43,1000002586,0,2,2575,280724,2584,281819,47,0,1000020121,280724,281819,1095,1000020122,282319,282822,283919,1097,503,1000020104,279678,503,2555,282822,0,2555,2557,283870,2576,283919,2577,284967,49,49,0,279678,285469,92
43,1000002590,1,3,2579,280725,2592,281820,47,0,1000020127,280725,281820,1095,1000020128,282320,282823,283920,1097,503,1000020107,279679,503,2563,282823,0,2563,2565,283871,2580,283920,2581,284968,49,49,0,279679,285470,91
44,1000002645,0,2,2634,287111,2643,288206,47,0,1000020169,287111,288206,1095,1000020170,288706,289209,290306,1097,503,1000020152,286065,503,2614,289209,0,2614,2616,290257,2635,290306,2636,291354,49,49,0,286065,291856,92
44,1000002649,1,3,2638,287112,2651,288207,47,0,1000020175,287112,288207,1095,1000020176,288707,289210,290307,1097,503,1000020155,286066,503,2622,289210,0,2622,2624,290258,2639,290307,2640,291355,49,49,0,286066,291857,91
45,1000002704,0,2,2693,293498,2702,294593,47,0,1000020217,293498,294593,1095,1000020218,295093,295596,296693,1097,503,1000020200,292452,503,2673,295596,0,2673,2675,296644,2694,296693,2695,297741,49,49,0,292452,298243,92
45,1000002708,1,3,2697,293499,2710,294594,47,0,1000020223,293499,294594,1095,1000020224,295094,295597,296694,1097,503,1000020203,292453,503,2681,295597,0,2681,2683,296645,2698,296694,2699,297742,49,49,0,292453,298244,91
46,1000002763,0,2,2752,299885,2761,300980,47,0,1000020265,299885,300980,1095,1000020266,301480,301983,303080,1097,503,1000020248,298839,503,2732,301983,0,2732,2734,303031,2753,303080,2754,304128,49,49,0,298839,304630,92
46,1000002767,1,3,2756,299886,2769,300981,47,0,1000020271,299886,300981,1095,1000020272,301481,301984,303081,1097,503,1000020251,298840,503,2740,301984,0,2740,2742,303032,2757,303081,2758,304129,49,49,0,298840,304631,91
47,1000002822,0,2,2811,306272,2820,307367,47,0,1000020313,306272,307367,1095,1000020314,307867,308370,309467,1097,503,1000020296,305226,503,2791,308370,0,2791,2793,309418,2812,309467,2813,310515,49,49,0,305226,311017,92
47,1000002826,1,3,2815,306273,2828,307368,47,0,1000020319,306273,307368,1095,1000020320,307868,308371,309468,1097,503,1000020299,305227,503,2799,308371,0,2799,2801,309419,2816,309468,2817,310516,49,49,0,305227,311018,91
48,1000002881,0,2,2870,312659,2879,313754,47,0,1000020361,312659,313754,1095,1000020362,314254,314757,315854,1097,503,1000020344,311613,503,2850,314757,0,2850,2852,315805,2871,315854,2872,316902,49,49,0,311613,317404,92
48,1000002885,1,3,2874,312660,2887,313755,47,0,1000020367,312660,313755,1095,1000020368,314255,314758,315855,1097,503,1000020347,311614,503,2858,314758,0,2858,2860,315806,2875,315855,2876,316903,49,49,0,311614,317405,91
49,1000002940,0,2,2929,319046,2938,320141,47,0,1000020409,319046,320141,1095,1000020410,320641,321144,322241,1097,503,1000020392,318000,503,2909,321144,0,2909,2911,322192,2930,322241,2931,323289,49,49,0,318000,323791,92
49,1000002944,1,3,2933,319047,2946,320142,47,0,1000020415,319047,320142,1095,1000020416,320642,321145,322242,1097,503,1000020395,318001,503,2917,321145,0,2917,2919,322193,2934,322242,2935,323290,49,49,0,318001,323792,91
50,1000002999,0,2,2988,325433,2997,326528,47,0,1000020457,325433,326528,1095,1000020458,327028,327531,328628,1097,503,1000020440,324387,503,2968,327531,0,2968,2970,328579,2989,328628,2990,329676,49,49,0,324387,330178,92
50,1000003003,1,3,2992,325434,3005,326529,47,0,1000020463,325434,326529,1095,1000020464,327029,327532,328629,1097,503,1000020443,324388,503,2976,327532,0,2976,2978,328580,2993,328629,2994,329677,49,49,0,324388,330179,91
51,1000003058,0,2,3047,331820,3056,332915,47,0,1000020505,331820,332915,1095,1000020506,333415,333918,335015,1097,503,1000020488,330774,503,3027,333918,0,3027,3029,334966,3048,335015,3049,336063,49,49,0,330774,336565,92
51,1000003062,1,3,3051,331821,3064,332916,47,0,1000020511,331821,332916,1095,1000020512,333416,333919,335016,1097,503,1000020491,330775,503,3035,333919,0,3035,3037,334967,3052,335016,3053,336064,49,49,0,330775,336566,91
52,1000003117,0,2,3106,338207,3115,339302,47,0,1000020553,338207,339302,1095,1000020554,339802,340305,341402,1097,503,1000020536,337161,503,3086,340305,0,3086,3088,341353,3107,341402,3108,342450,49,49,0,337161,342952,92
52,1000003121,1,3,3110,338208,3123,339303,47,0,1000020559,338208,339303,1095,1000020560,339803,340306,341403,1097,503,1000020539,337162,503,3094,340306,0,3094,3096,341354,3111,341403,3112,342451,49,49,0,337162,342953,91
53,1000003176,0,2,3165,344594,3174,345689,47,0,1000020601,344594,345689,1095,1000020602,346189,346692,347789,1097,503,1000020584,343548,503,3145,346692,0,3145,3147,347740,3166,347789,3167,348837,49,49,0,343548,349339,92
53,1000003180,1,3,3169,344595,3182,345690,47,0,1000020607,344595,345690,1095,1000020608,346190,346693,347790,1097,503,1000020587,343549,503,3153,346693,0,3153,3155,347741,3170,347790,3171,348838,49,49,0,343549,349340,91
54,1000003235,0,2,3224,350981,3233,352076,47,0,1000020649,350981,352076,1095,1000020650,352576,353079,354176,1097,503,1000020632,349935,503,3204,353079,0,3204,3206,354127,3225,354176,3226,355224,49,49,0,349935,355726,92
54,1000003239,1,3,3228,350982,3241,352077,47,0,1000020655,350982,352077,1095,1000020656,352577,353080,354177,1097,503,1000020635,349936,503,3212,353080,0,3212,3214,354128,3229,354177,3230,355225,49,49,0,349936,355727,91
55,1000003294,0,2,3283,357368,3292,358463,47,0,1000020697,357368,358463,1095,1000020698,358963,359466,360563,1097,503,1000020680,356322,503,3263,359466,0,3263,3265,360514,3284,360563,3285,361611,49,49,0,356322,362113,92
55,1000003298,1,3,3287,357369,3300,358464,47,0,1000020703,357369,358464,1095,1000020704,358964,359467,360564,1097,503,1000020683,356323,503,3271,359467,0,3271,3273,360515,3288,360564,3289,361612,49,49,0,356323,362114,91
56,1000003353,0,2,3342,363755,3351,364850,47,0,1000020745,363755,364850,1095,1000020746,365350,365853,366950,1097,503,1000020728,362709,503,3322,365853,0,3322,3324,366901,3343,366950,3344,367998,49,49,0,362709,368500,92
56,1000003357,1,3,3346,363756,3359,364851,47,0,1000020751,363756,364851,1095,1000020752,365351,365854,366951,1097,503,1000020731,362710,503,3330,365854,0,3330,3332,366902,3347,366951,3348,367999,49,49,0,362710,368501,91
57,1000003412,0,2,3401,370142,3410,371237,47,0,1000020793,370142,371237,1095,1000020794,371737,372240,373337,1097,503,1000020776,369096,503,3381,372240,0,3381,3383,373288,3402,373337,3403,374385,49,49,0,369096,374887,92
57,1000003416,1,3,3405,370143,3418,371238,47,0,1000020799,370143,371238,1095,1000020800,371738,372241,373338,1097,503,1000020779,369097,503,3389,372241,0,3389,3391,373289,3406,373338,3407,374386,49,49,0,369097,374888,91
58,1000003471,0,2,3460,376529,3469,377624,47,0,1000020841,376529,377624,1095,1000020842,378124,378627,379724,1097,503,1000020824,375483,503,3440,378627,0,3440,3442,379675,3461,379724,3462,380772,49,49,0,375483,381274,92
58,1000003475,1,3,3464,376530,3477,377625,47,0,1000020847,376530,377625,1095,1000020848,378125,378628,379725,1097,503,1000020827,375484,503,3448,378628,0,3448,3450,379676,3465,379725,3466,380773,49,49,0,375484,381275,91
59,1000003530,0,2,3519,382916,3528,384011,47,0,1000020889,382916,384011,1095,1000020890,384511,385014,386111,1097,503,1000020872,381870,503,3499,385014,0,3499,3501,386062,3520,386111,3521,387159,49,49,0,381870,387661,92
