case,anchor,graph_components,old_makespan,old_guard_selected,overload_pipes,component_max_pipe_work,graph_compute_floor,retained_component_floor,peel_status,waves,parallel_waves,packets,max_packet_work,packet_chain_proxy,packet_chain_with_100_gate_proxy,external_input_bytes,cut_payload_bytes,wave_added_copy_proxy_bytes,packet_added_copy_proxy_bytes,room_after_retained_components
063,3,1,233223,False,PIPE_M;PIPE_V,981600,196320,981600,ok,1,0,1,981600,981600,981600,5019648,0,0,0,0
064,10,1,19116,False,PIPE_M;PIPE_V,15744,3528,0,ok,8,8,49,1394,4328,5028,35622,20000,47406,110410,11416
066,15,28,250449,False,PIPE_V,74758,53939,1440,ok,8,8,106,5115,11092,11792,96822,76896,181598,696886,20819
066,3884,28,250449,False,PIPE_M;PIPE_V,202896,53939,1440,ok,6,6,87,20424,43580,44080,835782,174336,422792,1951744,148957
068,68,32,304058,True,PIPE_M;PIPE_V,235728,49821,6352,ok,14,14,190,8640,54906,56206,2443974,250752,579296,3067538,180822
069,12,1,25144,False,PIPE_M;PIPE_V,16674,3335,0,ok,4,4,42,2628,3001,3301,113766,37440,99554,408330,13339
070,896,38,26669,False,PIPE_V,10835,18367,10835,ok,1,0,1,10835,10835,10835,34816,0,0,0,0
071,11,1,18919,False,PIPE_M;PIPE_V,12534,2507,0,ok,4,4,36,2388,2761,3061,111462,30528,81122,302818,9773
075,11,1,1441809,False,PIPE_M;PIPE_V,1107520,221504,0,ok,22,22,285,21616,228262,230362,1819782,682752,1559736,5454896,879258
077,10,41,121081,False,PIPE_V,82458,83082,28840,ok,8,8,97,5583,17866,18566,693654,102672,243230,1048394,0
082,13,1,721041,False,PIPE_M;PIPE_V,567936,113588,0,ok,8,8,121,25904,82478,83178,566406,282752,668814,2810374,454348
085,15,1,3187899,False,PIPE_M;PIPE_V,2565216,513044,0,ok,20,20,441,30192,282782,284682,1655942,1186176,2712754,12646770,2052172
086,14,1,118403,False,PIPE_M;PIPE_V,79182,15837,0,ok,8,8,146,3446,10695,11395,321126,187584,443054,1974970,63345
087,11,196,886373,False,PIPE_V,542640,718656,26280,ok,18,18,309,13128,109477,111177,1844502,610560,1399868,5439988,0
087,15338,196,886373,False,PIPE_V,448920,718656,26280,ok,12,12,318,10272,54030,55130,2049222,414336,958682,7447354,0
088,121,31,202791,True,PIPE_M;PIPE_V,157240,34722,2660,ok,10,10,128,8728,36922,37822,1634504,163584,382676,2041442,120318
096,837,50,27053,False,PIPE_M,10500,10626,26707,ok,1,0,1,10500,10500,10500,15360,0,0,0,0
096,1737,50,27053,False,PIPE_V,26707,10626,26707,ok,1,0,1,26707,26707,26707,69632,0,0,0,0
098,1173,27,90168,False,PIPE_V,89207,32541,89207,ok,1,0,1,89207,89207,89207,360448,0,0,0,0
100,223,43,58085,False,PIPE_V,57125,20402,57125,ok,1,0,1,57125,57125,57125,229376,0,0,0,0
