variant,cores,stage,op,op_name,core,start,end,duration,predecessor_ops
direct,5,100,5958,RELU,1,742630,743154,524,5957
direct,5,100,5959,RELU,1,744202,744726,524,5958
direct,5,100,5960,REDUCE,1,745774,746298,524,5959
direct,5,100,5961,ADD,4,745752,745765,13,5916;5920
direct,5,100,5962,ADD,2,744203,744216,13,5924;5928
direct,5,100,5963,ADD,4,745774,745787,13,5932;5936
direct,5,100,5964,ADD,2,746277,746290,13,5940;5944
direct,5,100,5965,ADD,3,744707,744720,13,5948;5952
direct,5,100,5966,ADD,1,746298,746311,13,5956;5960
direct,5,100,5967,ADD,4,745787,745800,13,5961;5962
direct,5,100,5968,ADD,2,746290,746303,13,5963;5964
direct,5,100,5969,ADD,1,746311,746324,13,5965;5966
direct,5,100,5970,ADD,2,746303,746316,13,5967;5968
direct,5,100,5971,ADD,1,746818,746831,13,5969;5970
vector,2,100,5913,ADD,0,1376617,1377141,524,5912
vector,2,100,5914,RELU,0,1377141,1377665,524,5913
vector,2,100,5915,RELU,0,1377665,1378189,524,5914
vector,2,100,5916,REDUCE,0,1378189,1378713,524,5915
vector,2,100,5917,ADD,0,1378713,1379237,524,5912
vector,2,100,5918,RELU,0,1379237,1379761,524,5917
vector,2,100,5919,RELU,0,1379761,1380285,524,5918
vector,2,100,5920,REDUCE,0,1380285,1380809,524,5919
vector,2,100,5921,ADD,1,1368696,1369220,524,5912
vector,2,100,5922,RELU,1,1369220,1369744,524,5921
vector,2,100,5923,RELU,1,1369744,1370268,524,5922
vector,2,100,5924,REDUCE,1,1370268,1370792,524,5923
vector,2,100,5925,ADD,1,1370792,1371316,524,5912
vector,2,100,5926,RELU,1,1371316,1371840,524,5925
vector,2,100,5927,RELU,1,1371840,1372364,524,5926
vector,2,100,5928,REDUCE,1,1372364,1372888,524,5927
vector,2,100,5929,ADD,1,1372901,1373425,524,5912
vector,2,100,5930,RELU,1,1373425,1373949,524,5929
vector,2,100,5931,RELU,1,1373949,1374473,524,5930
vector,2,100,5932,REDUCE,1,1374473,1374997,524,5931
vector,2,100,5933,ADD,1,1374997,1375521,524,5912
vector,2,100,5934,RELU,1,1375521,1376045,524,5933
vector,2,100,5935,RELU,1,1376045,1376569,524,5934
vector,2,100,5936,REDUCE,1,1376569,1377093,524,5935
vector,2,100,5937,ADD,1,1377106,1377630,524,5912
vector,2,100,5938,RELU,1,1377630,1378154,524,5937
vector,2,100,5939,RELU,1,1378154,1378678,524,5938
vector,2,100,5940,REDUCE,1,1378678,1379202,524,5939
vector,2,100,5941,ADD,1,1379202,1379726,524,5912
vector,2,100,5942,RELU,1,1379726,1380250,524,5941
vector,2,100,5943,RELU,1,1380250,1380774,524,5942
vector,2,100,5944,REDUCE,1,1380774,1381298,524,5943
vector,2,100,5945,ADD,0,1368194,1368718,524,5912
vector,2,100,5946,RELU,0,1368718,1369242,524,5945
vector,2,100,5947,RELU,0,1369242,1369766,524,5946
vector,2,100,5948,REDUCE,0,1369766,1370290,524,5947
vector,2,100,5949,ADD,0,1370290,1370814,524,5912
vector,2,100,5950,RELU,0,1370814,1371338,524,5949
vector,2,100,5951,RELU,0,1371338,1371862,524,5950
vector,2,100,5952,REDUCE,0,1371862,1372386,524,5951
vector,2,100,5953,ADD,0,1372399,1372923,524,5912
vector,2,100,5954,RELU,0,1372923,1373447,524,5953
vector,2,100,5955,RELU,0,1373447,1373971,524,5954
vector,2,100,5956,REDUCE,0,1373971,1374495,524,5955
vector,2,100,5957,ADD,0,1374495,1375019,524,5912
vector,2,100,5958,RELU,0,1375019,1375543,524,5957
vector,2,100,5959,RELU,0,1375543,1376067,524,5958
vector,2,100,5960,REDUCE,0,1376067,1376591,524,5959
vector,2,100,5961,ADD,0,1380809,1380822,13,5916;5920
vector,2,100,5962,ADD,1,1372888,1372901,13,5924;5928
vector,2,100,5963,ADD,1,1377093,1377106,13,5932;5936
vector,2,100,5964,ADD,1,1381298,1381311,13,5940;5944
vector,2,100,5965,ADD,0,1372386,1372399,13,5948;5952
vector,2,100,5966,ADD,0,1376591,1376604,13,5956;5960
vector,2,100,5967,ADD,0,1380822,1380835,13,5961;5962
vector,2,100,5968,ADD,1,1381311,1381324,13,5963;5964
vector,2,100,5969,ADD,0,1376604,1376617,13,5965;5966
vector,2,100,5970,ADD,1,1381337,1381350,13,5967;5968
vector,2,100,5971,ADD,0,1381852,1381865,13,5969;5970
vector,4,100,5913,ADD,1,840657,841181,524,5912
vector,4,100,5914,RELU,1,841181,841705,524,5913
vector,4,100,5915,RELU,1,841705,842229,524,5914
vector,4,100,5916,REDUCE,1,842229,842753,524,5915
vector,4,100,5917,ADD,1,842753,843277,524,5912
vector,4,100,5918,RELU,1,843277,843801,524,5917
vector,4,100,5919,RELU,1,843801,844325,524,5918
vector,4,100,5920,REDUCE,1,844325,844849,524,5919
vector,4,100,5921,ADD,2,838562,839086,524,5912
vector,4,100,5922,RELU,2,839086,839610,524,5921
vector,4,100,5923,RELU,2,839610,840134,524,5922
vector,4,100,5924,REDUCE,2,840134,840658,524,5923
vector,4,100,5925,ADD,2,840658,841182,524,5912
vector,4,100,5926,RELU,2,841182,841706,524,5925
vector,4,100,5927,RELU,2,841706,842230,524,5926
vector,4,100,5928,REDUCE,2,842230,842754,524,5927
vector,4,100,5929,ADD,2,842767,843291,524,5912
vector,4,100,5930,RELU,2,843291,843815,524,5929
vector,4,100,5931,RELU,2,843815,844339,524,5930
vector,4,100,5932,REDUCE,2,844339,844863,524,5931
vector,4,100,5933,ADD,3,838563,839087,524,5912
vector,4,100,5934,RELU,3,839087,839611,524,5933
vector,4,100,5935,RELU,3,839611,840135,524,5934
vector,4,100,5936,REDUCE,3,840135,840659,524,5935
vector,4,100,5937,ADD,3,840659,841183,524,5912
vector,4,100,5938,RELU,3,841183,841707,524,5937
vector,4,100,5939,RELU,3,841707,842231,524,5938
vector,4,100,5940,REDUCE,3,842231,842755,524,5939
vector,4,100,5941,ADD,3,842755,843279,524,5912
vector,4,100,5942,RELU,3,843279,843803,524,5941
vector,4,100,5943,RELU,3,843803,844327,524,5942
vector,4,100,5944,REDUCE,3,844327,844851,524,5943
vector,4,100,5945,ADD,0,838059,838583,524,5912
vector,4,100,5946,RELU,0,838583,839107,524,5945
vector,4,100,5947,RELU,0,839107,839631,524,5946
vector,4,100,5948,REDUCE,0,839631,840155,524,5947
vector,4,100,5949,ADD,0,840155,840679,524,5912
vector,4,100,5950,RELU,0,840679,841203,524,5949
vector,4,100,5951,RELU,0,841203,841727,524,5950
vector,4,100,5952,REDUCE,0,841727,842251,524,5951
vector,4,100,5953,ADD,0,842264,842788,524,5912
vector,4,100,5954,RELU,0,842788,843312,524,5953
vector,4,100,5955,RELU,0,843312,843836,524,5954
vector,4,100,5956,REDUCE,0,843836,844360,524,5955
vector,4,100,5957,ADD,1,838561,839085,524,5912
vector,4,100,5958,RELU,1,839085,839609,524,5957
vector,4,100,5959,RELU,1,839609,840133,524,5958
vector,4,100,5960,REDUCE,1,840133,840657,524,5959
vector,4,100,5961,ADD,1,844849,844862,13,5916;5920
vector,4,100,5962,ADD,2,842754,842767,13,5924;5928
vector,4,100,5963,ADD,2,844863,844876,13,5932;5936
vector,4,100,5964,ADD,3,844851,844864,13,5940;5944
vector,4,100,5965,ADD,0,842251,842264,13,5948;5952
vector,4,100,5966,ADD,0,844360,844373,13,5956;5960
vector,4,100,5967,ADD,1,844862,844875,13,5961;5962
vector,4,100,5968,ADD,3,845378,845391,13,5963;5964
vector,4,100,5969,ADD,0,844373,844386,13,5965;5966
vector,4,100,5970,ADD,2,845893,845906,13,5967;5968
vector,4,100,5971,ADD,0,846408,846421,13,5969;5970
vector,5,100,5913,ADD,2,737571,738095,524,5912
vector,5,100,5914,RELU,2,738095,738619,524,5913
vector,5,100,5915,RELU,2,738619,739143,524,5914
vector,5,100,5916,REDUCE,2,739143,739667,524,5915
vector,5,100,5917,ADD,2,739667,740191,524,5912
vector,5,100,5918,RELU,2,740191,740715,524,5917
vector,5,100,5919,RELU,2,740715,741239,524,5918
vector,5,100,5920,REDUCE,2,741239,741763,524,5919
vector,5,100,5921,ADD,2,741776,742300,524,5912
vector,5,100,5922,RELU,2,742300,742824,524,5921
vector,5,100,5923,RELU,2,742824,743348,524,5922
vector,5,100,5924,REDUCE,2,743348,743872,524,5923
vector,5,100,5925,ADD,3,738075,738599,524,5912
vector,5,100,5926,RELU,3,738599,739123,524,5925
vector,5,100,5927,RELU,3,739123,739647,524,5926
vector,5,100,5928,REDUCE,3,739647,740171,524,5927
vector,5,100,5929,ADD,3,740171,740695,524,5912
vector,5,100,5930,RELU,3,740695,741219,524,5929
vector,5,100,5931,RELU,3,741219,741743,524,5930
vector,5,100,5932,REDUCE,3,741743,742267,524,5931
vector,5,100,5933,ADD,4,738076,738600,524,5912
vector,5,100,5934,RELU,4,738600,739124,524,5933
vector,5,100,5935,RELU,4,739124,739648,524,5934
vector,5,100,5936,REDUCE,4,739648,740172,524,5935
vector,5,100,5937,ADD,4,740172,740696,524,5912
vector,5,100,5938,RELU,4,740696,741220,524,5937
vector,5,100,5939,RELU,4,741220,741744,524,5938
vector,5,100,5940,REDUCE,4,741744,742268,524,5939
vector,5,100,5941,ADD,4,742268,742792,524,5912
vector,5,100,5942,RELU,4,742792,743316,524,5941
vector,5,100,5943,RELU,4,743316,743840,524,5942
vector,5,100,5944,REDUCE,4,743840,744364,524,5943
vector,5,100,5945,ADD,0,738073,738597,524,5912
vector,5,100,5946,RELU,0,738597,739121,524,5945
vector,5,100,5947,RELU,0,739121,739645,524,5946
vector,5,100,5948,REDUCE,0,739645,740169,524,5947
vector,5,100,5949,ADD,0,740169,740693,524,5912
vector,5,100,5950,RELU,0,740693,741217,524,5949
vector,5,100,5951,RELU,0,741217,741741,524,5950
vector,5,100,5952,REDUCE,0,741741,742265,524,5951
vector,5,100,5953,ADD,1,738074,738598,524,5912
vector,5,100,5954,RELU,1,738598,739122,524,5953
vector,5,100,5955,RELU,1,739122,739646,524,5954
vector,5,100,5956,REDUCE,1,739646,740170,524,5955
vector,5,100,5957,ADD,1,740170,740694,524,5912
vector,5,100,5958,RELU,1,740694,741218,524,5957
vector,5,100,5959,RELU,1,741218,741742,524,5958
vector,5,100,5960,REDUCE,1,741742,742266,524,5959
vector,5,100,5961,ADD,2,741763,741776,13,5916;5920
vector,5,100,5962,ADD,2,743872,743885,13,5924;5928
vector,5,100,5963,ADD,3,742267,742280,13,5932;5936
vector,5,100,5964,ADD,4,744364,744377,13,5940;5944
vector,5,100,5965,ADD,0,742265,742278,13,5948;5952
vector,5,100,5966,ADD,1,742266,742279,13,5956;5960
vector,5,100,5967,ADD,2,743885,743898,13,5961;5962
vector,5,100,5968,ADD,4,744377,744390,13,5963;5964
vector,5,100,5969,ADD,0,742781,742794,13,5965;5966
vector,5,100,5970,ADD,2,744892,744905,13,5967;5968
vector,5,100,5971,ADD,2,744905,744918,13,5969;5970
