variant,cores,stage,root,root_core,root_start,root_end,period_from_previous_root,first_compute_start
direct,2,108,6443,1,3313180,3313193,28387,3284806
direct,2,109,6502,0,3345477,3345490,32297,3313193
direct,2,110,6561,1,3373864,3373877,28387,3345490
direct,2,111,6620,0,3406161,3406174,32297,3373877
direct,2,112,6679,1,3434548,3434561,28387,3406174
direct,2,113,6738,0,3466845,3466858,32297,3434561
direct,2,114,6797,1,3495232,3495245,28387,3466858
direct,2,115,6856,0,3527529,3527542,32297,3495245
direct,2,116,6915,1,3555916,3555929,28387,3527542
direct,2,117,6974,0,3588213,3588226,32297,3555929
direct,2,118,7033,1,3616600,3616613,28387,3588226
direct,2,119,7092,0,3648897,3648910,32297,3616613
direct,2,120,7151,1,3677284,3677297,28387,3648910
direct,2,121,7210,0,3709581,3709594,32297,3677297
direct,2,122,7269,1,3737968,3737981,28387,3709594
direct,2,123,7328,0,3770265,3770278,32297,3737981
direct,2,124,7387,1,3798652,3798665,28387,3770278
direct,2,125,7446,0,3830949,3830962,32297,3798665
direct,2,126,7505,1,3859336,3859349,28387,3830962
direct,2,127,7564,0,3891633,3891646,32297,3859349
direct,2,128,7623,1,3920020,3920033,28387,3891646
direct,2,129,7682,0,3952317,3952330,32297,3920033
direct,2,130,7741,1,3980704,3980717,28387,3952330
direct,2,131,7800,0,4013001,4013014,32297,3980717
direct,2,132,7859,1,4041388,4041401,28387,4013014
direct,2,133,7918,0,4073685,4073698,32297,4041401
direct,2,134,7977,1,4102072,4102085,28387,4073698
direct,2,135,8036,0,4134369,4134382,32297,4102085
direct,2,136,8095,1,4162756,4162769,28387,4134382
direct,2,137,8154,0,4195053,4195066,32297,4162769
direct,2,138,8213,1,4223440,4223453,28387,4195066
direct,2,139,8272,0,4255737,4255750,32297,4223453
direct,2,140,8331,1,4284124,4284137,28387,4255750
direct,2,141,8390,0,4316421,4316434,32297,4284137
direct,2,142,8449,1,4344808,4344821,28387,4316434
direct,2,143,8508,0,4377105,4377118,32297,4344821
direct,2,144,8567,1,4405492,4405505,28387,4377118
direct,2,145,8626,0,4437789,4437802,32297,4405505
direct,2,146,8685,1,4466176,4466189,28387,4437802
direct,2,147,8744,0,4498473,4498486,32297,4466189
direct,2,148,8803,1,4526860,4526873,28387,4498486
direct,2,149,8862,0,4559157,4559170,32297,4526873
direct,2,150,8921,1,4587544,4587557,28387,4559170
direct,2,151,8980,0,4619841,4619854,32297,4587557
direct,2,152,9039,1,4648228,4648241,28387,4619854
direct,2,153,9098,0,4680525,4680538,32297,4648241
direct,2,154,9157,1,4708912,4708925,28387,4680538
direct,2,155,9216,0,4741209,4741222,32297,4708925
direct,2,156,9275,1,4769596,4769609,28387,4741222
direct,2,157,9334,0,4801893,4801906,32297,4769609
direct,2,158,9393,1,4830280,4830293,28387,4801906
direct,2,159,9452,0,4862577,4862590,32297,4830293
direct,2,160,9511,1,4890964,4890977,28387,4862590
direct,2,161,9570,0,4923261,4923274,32297,4890977
direct,2,162,9629,1,4951648,4951661,28387,4923274
direct,2,163,9688,0,4983945,4983958,32297,4951661
direct,2,164,9747,1,5012332,5012345,28387,4983958
direct,2,165,9806,0,5044629,5044642,32297,5012345
direct,2,166,9865,1,5073016,5073029,28387,5044642
direct,2,167,9924,0,5105313,5105326,32297,5073029
direct,2,168,9983,1,5133700,5133713,28387,5105326
direct,2,169,10042,0,5165997,5166010,32297,5133713
direct,2,170,10101,1,5194384,5194397,28387,5166010
direct,2,171,10160,0,5226681,5226694,32297,5194397
direct,2,172,10219,1,5255068,5255081,28387,5226694
direct,2,173,10278,0,5287365,5287378,32297,5255081
direct,2,174,10337,1,5315752,5315765,28387,5287378
direct,2,175,10396,0,5348049,5348062,32297,5315765
direct,2,176,10455,1,5376436,5376449,28387,5348062
direct,2,177,10514,0,5408733,5408746,32297,5376449
direct,2,178,10573,1,5437120,5437133,28387,5408746
direct,2,179,10632,0,5469417,5469430,32297,5437133
direct,2,180,10691,1,5497804,5497817,28387,5469430
direct,2,181,10750,0,5530101,5530114,32297,5497817
direct,2,182,10809,1,5558488,5558501,28387,5530114
direct,2,183,10868,0,5590785,5590798,32297,5558501
direct,2,184,10927,1,5619172,5619185,28387,5590798
direct,2,185,10986,0,5651469,5651482,32297,5619185
direct,2,186,11045,1,5679856,5679869,28387,5651482
direct,2,187,11104,0,5712153,5712166,32297,5679869
direct,2,188,11163,1,5740540,5740553,28387,5712166
direct,2,189,11222,0,5772837,5772850,32297,5740553
direct,2,190,11281,1,5801224,5801237,28387,5772850
direct,2,191,11340,0,5833521,5833534,32297,5801237
direct,2,192,11399,1,5861908,5861921,28387,5833534
direct,2,193,11458,0,5894205,5894218,32297,5861921
direct,2,194,11517,1,5922592,5922605,28387,5894218
direct,2,195,11576,0,5954889,5954902,32297,5922605
direct,2,196,11635,1,5983276,5983289,28387,5954902
direct,2,197,11694,0,6015573,6015586,32297,5983289
direct,2,198,11753,1,6043960,6043973,28387,6015586
direct,2,199,11812,0,6076257,6076270,32297,6043973
direct,2,200,11871,1,6104644,6104657,28387,6076270
direct,2,201,11930,0,6136941,6136954,32297,6104657
direct,2,202,11989,1,6165328,6165341,28387,6136954
direct,2,203,12048,0,6197625,6197638,32297,6165341
direct,2,204,12107,1,6226012,6226025,28387,6197638
direct,2,205,12166,0,6258309,6258322,32297,6226025
direct,2,206,12225,1,6286696,6286709,28387,6258322
direct,2,207,12284,0,6318993,6319006,32297,6286709
direct,2,208,12343,1,6347380,6347393,28387,6319006
direct,2,209,12402,0,6379677,6379690,32297,6347393
direct,2,210,12461,1,6408064,6408077,28387,6379690
direct,2,211,12520,0,6440361,6440374,32297,6408077
direct,2,212,12579,1,6468748,6468761,28387,6440374
direct,2,213,12638,0,6501045,6501058,32297,6468761
direct,2,214,12697,1,6529432,6529445,28387,6501058
direct,2,215,12756,0,6561729,6561742,32297,6529445
direct,2,216,12815,1,6590116,6590129,28387,6561742
direct,2,217,12874,0,6622413,6622426,32297,6590129
direct,2,218,12933,1,6650800,6650813,28387,6622426
direct,2,219,12992,0,6683097,6683110,32297,6650813
direct,2,220,13051,1,6711484,6711497,28387,6683110
direct,2,221,13110,0,6743781,6743794,32297,6711497
direct,2,222,13169,1,6772168,6772181,28387,6743794
direct,2,223,13228,0,6804465,6804478,32297,6772181
direct,2,224,13287,1,6832852,6832865,28387,6804478
direct,2,225,13346,0,6865149,6865162,32297,6832865
direct,2,226,13405,1,6893536,6893549,28387,6865162
direct,2,227,13464,0,6925833,6925846,32297,6893549
direct,2,228,13523,1,6954220,6954233,28387,6925846
direct,2,229,13582,0,6986517,6986530,32297,6954233
direct,2,230,13641,1,7014904,7014917,28387,6986530
direct,2,231,13700,0,7047201,7047214,32297,7014917
direct,2,232,13759,1,7075588,7075601,28387,7047214
direct,2,233,13818,0,7107885,7107898,32297,7075601
direct,2,234,13877,1,7136272,7136285,28387,7107898
direct,2,235,13936,0,7168569,7168582,32297,7136285
direct,2,236,13995,1,7196956,7196969,28387,7168582
direct,2,237,14054,0,7229253,7229266,32297,7196969
direct,2,238,14113,1,7257640,7257653,28387,7229266
direct,2,239,14172,0,7289937,7289950,32297,7257653
direct,2,240,14231,1,7318324,7318337,28387,7289950
direct,2,241,14290,0,7350621,7350634,32297,7318337
direct,2,242,14349,1,7379008,7379021,28387,7350634
direct,2,243,14408,0,7411305,7411318,32297,7379021
direct,2,244,14467,1,7439692,7439705,28387,7411318
direct,2,245,14526,0,7471989,7472002,32297,7439705
direct,2,246,14585,1,7500376,7500389,28387,7472002
direct,2,247,14644,0,7532673,7532686,32297,7500389
direct,2,248,14703,1,7561060,7561073,28387,7532686
direct,2,249,14762,0,7593357,7593370,32297,7561073
direct,2,250,14821,1,7621744,7621757,28387,7593370
direct,2,251,14880,0,7654041,7654054,32297,7621757
direct,2,252,14939,1,7682428,7682441,28387,7654054
direct,2,253,14998,0,7714725,7714738,32297,7682441
direct,2,254,15057,1,7743112,7743125,28387,7714738
direct,2,255,15116,0,7775409,7775422,32297,7743125
direct,2,256,15175,1,7803796,7803809,28387,7775422
direct,2,257,15234,0,7836093,7836106,32297,7803809
direct,2,258,15293,1,7864480,7864493,28387,7836106
direct,2,259,15352,0,7896777,7896790,32297,7864493
direct,2,260,15411,1,7925164,7925177,28387,7896790
direct,2,261,15470,0,7957461,7957474,32297,7925177
direct,2,262,15529,1,7985848,7985861,28387,7957474
direct,2,263,15588,0,8018145,8018158,32297,7985861
direct,2,264,15647,1,8046532,8046545,28387,8018158
direct,2,265,15706,0,8078829,8078842,32297,8046545
direct,2,266,15765,1,8107216,8107229,28387,8078842
direct,2,267,15824,0,8139513,8139526,32297,8107229
direct,2,268,15883,1,8167900,8167913,28387,8139526
direct,2,269,15942,0,8200197,8200210,32297,8167913
direct,2,270,16001,1,8228584,8228597,28387,8200210
direct,2,271,16060,0,8260881,8260894,32297,8228597
direct,2,272,16119,1,8289268,8289281,28387,8260894
direct,2,273,16178,0,8321565,8321578,32297,8289281
direct,2,274,16237,1,8349952,8349965,28387,8321578
direct,2,275,16296,0,8382249,8382262,32297,8349965
direct,2,276,16355,1,8410636,8410649,28387,8382262
direct,2,277,16414,0,8442933,8442946,32297,8410649
direct,2,278,16473,1,8471320,8471333,28387,8442946
direct,2,279,16532,0,8503617,8503630,32297,8471333
direct,2,280,16591,1,8532004,8532017,28387,8503630
direct,2,281,16650,0,8564301,8564314,32297,8532017
direct,2,282,16709,1,8592688,8592701,28387,8564314
direct,2,283,16768,0,8624985,8624998,32297,8592701
direct,2,284,16827,1,8653372,8653385,28387,8624998
direct,2,285,16886,0,8685669,8685682,32297,8653385
direct,2,286,16945,1,8714056,8714069,28387,8685682
direct,2,287,17004,0,8746353,8746366,32297,8714069
direct,2,288,17063,1,8774740,8774753,28387,8746366
direct,2,289,17122,0,8807037,8807050,32297,8774753
direct,2,290,17181,1,8835424,8835437,28387,8807050
direct,2,291,17240,0,8867721,8867734,32297,8835437
direct,2,292,17299,1,8896108,8896121,28387,8867734
direct,2,293,17358,0,8928405,8928418,32297,8896121
direct,2,294,17417,1,8956792,8956805,28387,8928418
direct,2,295,17476,0,8989089,8989102,32297,8956805
direct,2,296,17535,1,9017476,9017489,28387,8989102
direct,2,297,17594,0,9049773,9049786,32297,9017489
direct,2,298,17653,1,9078160,9078173,28387,9049786
direct,2,299,17712,0,9110457,9110470,32297,9078173
direct,2,300,17771,1,9138844,9138857,28387,9110470
direct,2,301,17830,0,9171141,9171154,32297,9138857
direct,2,302,17889,1,9199528,9199541,28387,9171154
direct,2,303,17948,0,9231825,9231838,32297,9199541
direct,2,304,18007,1,9260212,9260225,28387,9231838
direct,4,0,71,1,13338,13351,,2188
direct,4,1,130,0,22398,22411,9060,13351
direct,4,2,189,3,29746,29759,7348,22411
direct,4,3,248,1,38281,38294,8535,29759
direct,4,4,307,3,45629,45642,7348,38294
direct,4,5,366,2,53013,53026,7384,45642
direct,4,6,425,1,60969,60982,7956,53026
direct,4,7,484,3,68317,68330,7348,60982
direct,4,8,543,2,75665,75678,7348,68330
direct,4,9,602,3,83013,83026,7348,75678
direct,4,10,661,2,90361,90374,7348,83026
direct,4,11,720,3,97709,97722,7348,90374
direct,4,12,779,2,105057,105070,7348,97722
direct,4,13,838,3,112405,112418,7348,105070
direct,4,14,897,2,119753,119766,7348,112418
direct,4,15,956,3,127101,127114,7348,119766
direct,4,16,1015,2,134449,134462,7348,127114
direct,4,17,1074,3,141797,141810,7348,134462
direct,4,18,1133,2,149145,149158,7348,141810
direct,4,19,1192,3,156493,156506,7348,149158
direct,4,20,1251,2,163841,163854,7348,156506
direct,4,21,1310,3,171189,171202,7348,163854
direct,4,22,1369,2,178537,178550,7348,171202
direct,4,23,1428,3,185885,185898,7348,178550
direct,4,24,1487,2,193233,193246,7348,185898
direct,4,25,1546,3,200581,200594,7348,193246
direct,4,26,1605,2,207929,207942,7348,200594
direct,4,27,1664,3,215277,215290,7348,207942
direct,4,28,1723,2,222625,222638,7348,215290
direct,4,29,1782,3,229973,229986,7348,222638
direct,4,30,1841,2,237321,237334,7348,229986
direct,4,31,1900,3,244669,244682,7348,237334
direct,4,32,1959,2,252017,252030,7348,244682
direct,4,33,2018,3,259365,259378,7348,252030
direct,4,34,2077,2,266713,266726,7348,259378
direct,4,35,2136,3,274061,274074,7348,266726
direct,4,36,2195,2,281409,281422,7348,274074
direct,4,37,2254,3,288757,288770,7348,281422
direct,4,38,2313,2,296105,296118,7348,288770
direct,4,39,2372,3,303453,303466,7348,296118
direct,4,40,2431,2,310801,310814,7348,303466
direct,4,41,2490,3,318149,318162,7348,310814
direct,4,42,2549,2,325497,325510,7348,318162
direct,4,43,2608,3,332845,332858,7348,325510
direct,4,44,2667,2,340193,340206,7348,332858
direct,4,45,2726,3,347541,347554,7348,340206
direct,4,46,2785,2,354889,354902,7348,347554
direct,4,47,2844,3,362237,362250,7348,354902
direct,4,48,2903,2,369585,369598,7348,362250
direct,4,49,2962,3,376933,376946,7348,369598
direct,4,50,3021,2,384281,384294,7348,376946
direct,4,51,3080,3,391629,391642,7348,384294
direct,4,52,3139,2,398977,398990,7348,391642
direct,4,53,3198,3,406325,406338,7348,398990
direct,4,54,3257,2,413673,413686,7348,406338
direct,4,55,3316,3,421021,421034,7348,413686
direct,4,56,3375,2,428369,428382,7348,421034
direct,4,57,3434,3,435717,435730,7348,428382
direct,4,58,3493,2,443065,443078,7348,435730
direct,4,59,3552,3,450413,450426,7348,443078
direct,4,60,3611,2,457761,457774,7348,450426
direct,4,61,3670,3,465109,465122,7348,457774
direct,4,62,3729,2,472457,472470,7348,465122
direct,4,63,3788,3,479805,479818,7348,472470
direct,4,64,3847,2,487153,487166,7348,479818
direct,4,65,3906,3,494501,494514,7348,487166
direct,4,66,3965,2,501849,501862,7348,494514
direct,4,67,4024,3,509197,509210,7348,501862
direct,4,68,4083,2,516545,516558,7348,509210
direct,4,69,4142,3,523893,523906,7348,516558
direct,4,70,4201,2,531241,531254,7348,523906
direct,4,71,4260,3,538589,538602,7348,531254
direct,4,72,4319,2,545937,545950,7348,538602
direct,4,73,4378,3,553285,553298,7348,545950
direct,4,74,4437,2,560633,560646,7348,553298
direct,4,75,4496,3,567981,567994,7348,560646
direct,4,76,4555,2,575329,575342,7348,567994
direct,4,77,4614,3,582677,582690,7348,575342
direct,4,78,4673,2,590025,590038,7348,582690
direct,4,79,4732,3,597373,597386,7348,590038
direct,4,80,4791,2,604721,604734,7348,597386
direct,4,81,4850,3,612069,612082,7348,604734
direct,4,82,4909,2,619417,619430,7348,612082
direct,4,83,4968,3,626765,626778,7348,619430
direct,4,84,5027,2,634113,634126,7348,626778
direct,4,85,5086,3,641461,641474,7348,634126
direct,4,86,5145,2,648809,648822,7348,641474
direct,4,87,5204,3,656157,656170,7348,648822
direct,4,88,5263,2,663505,663518,7348,656170
direct,4,89,5322,3,670853,670866,7348,663518
direct,4,90,5381,2,678201,678214,7348,670866
direct,4,91,5440,3,685549,685562,7348,678214
direct,4,92,5499,2,692897,692910,7348,685562
direct,4,93,5558,3,700245,700258,7348,692910
direct,4,94,5617,2,707593,707606,7348,700258
direct,4,95,5676,3,714941,714954,7348,707606
direct,4,96,5735,2,722289,722302,7348,714954
direct,4,97,5794,3,729637,729650,7348,722302
direct,4,98,5853,2,736985,736998,7348,729650
direct,4,99,5912,3,744333,744346,7348,736998
direct,4,100,5971,2,751681,751694,7348,744346
direct,4,101,6030,3,759029,759042,7348,751694
direct,4,102,6089,2,766377,766390,7348,759042
direct,4,103,6148,3,773725,773738,7348,766390
direct,4,104,6207,2,781073,781086,7348,773738
direct,4,105,6266,3,788421,788434,7348,781086
direct,4,106,6325,2,795769,795782,7348,788434
direct,4,107,6384,3,803117,803130,7348,795782
direct,4,108,6443,2,810465,810478,7348,803130
direct,4,109,6502,3,817813,817826,7348,810478
direct,4,110,6561,2,825161,825174,7348,817826
direct,4,111,6620,3,832509,832522,7348,825174
direct,4,112,6679,2,839857,839870,7348,832522
direct,4,113,6738,3,847205,847218,7348,839870
direct,4,114,6797,2,854553,854566,7348,847218
direct,4,115,6856,3,861901,861914,7348,854566
direct,4,116,6915,2,869249,869262,7348,861914
direct,4,117,6974,3,876597,876610,7348,869262
direct,4,118,7033,2,883945,883958,7348,876610
direct,4,119,7092,3,891293,891306,7348,883958
direct,4,120,7151,2,898641,898654,7348,891306
direct,4,121,7210,3,905989,906002,7348,898654
direct,4,122,7269,2,913337,913350,7348,906002
direct,4,123,7328,3,920685,920698,7348,913350
direct,4,124,7387,2,928033,928046,7348,920698
direct,4,125,7446,3,935381,935394,7348,928046
direct,4,126,7505,2,942729,942742,7348,935394
direct,4,127,7564,3,950077,950090,7348,942742
direct,4,128,7623,2,957425,957438,7348,950090
direct,4,129,7682,3,964773,964786,7348,957438
direct,4,130,7741,2,972121,972134,7348,964786
direct,4,131,7800,3,979469,979482,7348,972134
direct,4,132,7859,2,986817,986830,7348,979482
direct,4,133,7918,3,994165,994178,7348,986830
direct,4,134,7977,2,1001513,1001526,7348,994178
direct,4,135,8036,3,1008861,1008874,7348,1001526
direct,4,136,8095,2,1016209,1016222,7348,1008874
direct,4,137,8154,3,1023557,1023570,7348,1016222
direct,4,138,8213,2,1030905,1030918,7348,1023570
direct,4,139,8272,3,1038253,1038266,7348,1030918
direct,4,140,8331,2,1045601,1045614,7348,1038266
direct,4,141,8390,3,1052949,1052962,7348,1045614
direct,4,142,8449,2,1060297,1060310,7348,1052962
direct,4,143,8508,3,1067645,1067658,7348,1060310
direct,4,144,8567,2,1074993,1075006,7348,1067658
direct,4,145,8626,3,1082341,1082354,7348,1075006
direct,4,146,8685,2,1089689,1089702,7348,1082354
direct,4,147,8744,3,1097037,1097050,7348,1089702
direct,4,148,8803,2,1104385,1104398,7348,1097050
direct,4,149,8862,3,1111733,1111746,7348,1104398
direct,4,150,8921,2,1119081,1119094,7348,1111746
direct,4,151,8980,3,1126429,1126442,7348,1119094
direct,4,152,9039,2,1133777,1133790,7348,1126442
direct,4,153,9098,3,1141125,1141138,7348,1133790
direct,4,154,9157,2,1148473,1148486,7348,1141138
direct,4,155,9216,3,1155821,1155834,7348,1148486
direct,4,156,9275,2,1163169,1163182,7348,1155834
direct,4,157,9334,3,1170517,1170530,7348,1163182
direct,4,158,9393,2,1177865,1177878,7348,1170530
direct,4,159,9452,3,1185213,1185226,7348,1177878
direct,4,160,9511,2,1192561,1192574,7348,1185226
direct,4,161,9570,3,1199909,1199922,7348,1192574
direct,4,162,9629,2,1207257,1207270,7348,1199922
direct,4,163,9688,3,1214605,1214618,7348,1207270
direct,4,164,9747,2,1221953,1221966,7348,1214618
direct,4,165,9806,3,1229301,1229314,7348,1221966
direct,4,166,9865,2,1236649,1236662,7348,1229314
direct,4,167,9924,3,1243997,1244010,7348,1236662
direct,4,168,9983,2,1251345,1251358,7348,1244010
direct,4,169,10042,3,1258693,1258706,7348,1251358
direct,4,170,10101,2,1266041,1266054,7348,1258706
direct,4,171,10160,3,1273389,1273402,7348,1266054
direct,4,172,10219,2,1280737,1280750,7348,1273402
direct,4,173,10278,3,1288085,1288098,7348,1280750
direct,4,174,10337,2,1295433,1295446,7348,1288098
direct,4,175,10396,3,1302781,1302794,7348,1295446
direct,4,176,10455,2,1310129,1310142,7348,1302794
direct,4,177,10514,3,1317477,1317490,7348,1310142
direct,4,178,10573,2,1324825,1324838,7348,1317490
direct,4,179,10632,3,1332173,1332186,7348,1324838
direct,4,180,10691,2,1339521,1339534,7348,1332186
direct,4,181,10750,3,1346869,1346882,7348,1339534
direct,4,182,10809,2,1354217,1354230,7348,1346882
direct,4,183,10868,3,1361565,1361578,7348,1354230
direct,4,184,10927,2,1368913,1368926,7348,1361578
direct,4,185,10986,3,1376261,1376274,7348,1368926
direct,4,186,11045,2,1383609,1383622,7348,1376274
direct,4,187,11104,3,1390957,1390970,7348,1383622
direct,4,188,11163,2,1398305,1398318,7348,1390970
direct,4,189,11222,3,1405653,1405666,7348,1398318
direct,4,190,11281,2,1413001,1413014,7348,1405666
direct,4,191,11340,3,1420349,1420362,7348,1413014
direct,4,192,11399,2,1427697,1427710,7348,1420362
direct,4,193,11458,3,1435045,1435058,7348,1427710
direct,4,194,11517,2,1442393,1442406,7348,1435058
direct,4,195,11576,3,1449741,1449754,7348,1442406
direct,4,196,11635,2,1457089,1457102,7348,1449754
direct,4,197,11694,3,1464437,1464450,7348,1457102
direct,4,198,11753,2,1471785,1471798,7348,1464450
direct,4,199,11812,3,1479133,1479146,7348,1471798
direct,4,200,11871,2,1486481,1486494,7348,1479146
direct,4,201,11930,3,1493829,1493842,7348,1486494
direct,4,202,11989,2,1501177,1501190,7348,1493842
direct,4,203,12048,3,1508525,1508538,7348,1501190
direct,4,204,12107,2,1515873,1515886,7348,1508538
direct,4,205,12166,3,1523221,1523234,7348,1515886
direct,4,206,12225,2,1530569,1530582,7348,1523234
direct,4,207,12284,3,1537917,1537930,7348,1530582
direct,4,208,12343,2,1545265,1545278,7348,1537930
direct,4,209,12402,3,1552613,1552626,7348,1545278
direct,4,210,12461,2,1559961,1559974,7348,1552626
direct,4,211,12520,3,1567309,1567322,7348,1559974
direct,4,212,12579,2,1574657,1574670,7348,1567322
direct,4,213,12638,3,1582005,1582018,7348,1574670
direct,4,214,12697,2,1589353,1589366,7348,1582018
direct,4,215,12756,3,1596701,1596714,7348,1589366
direct,4,216,12815,2,1604049,1604062,7348,1596714
direct,4,217,12874,3,1611397,1611410,7348,1604062
direct,4,218,12933,2,1618745,1618758,7348,1611410
direct,4,219,12992,3,1626093,1626106,7348,1618758
direct,4,220,13051,2,1633441,1633454,7348,1626106
direct,4,221,13110,3,1640789,1640802,7348,1633454
direct,4,222,13169,2,1648137,1648150,7348,1640802
direct,4,223,13228,3,1655485,1655498,7348,1648150
direct,4,224,13287,2,1662833,1662846,7348,1655498
direct,4,225,13346,3,1670181,1670194,7348,1662846
direct,4,226,13405,2,1677529,1677542,7348,1670194
direct,4,227,13464,3,1684877,1684890,7348,1677542
direct,4,228,13523,2,1692225,1692238,7348,1684890
direct,4,229,13582,3,1699573,1699586,7348,1692238
