variant,event_id,op_id,core,pipe,start,end
p2,0-0-1000005381,1000005381,1,PIPE_MTE2,7230,7437
p2,0-0-1000006161,1000006161,1,PIPE_MTE2,7437,7746
p2,0-0-1000005081,1000005081,1,PIPE_MTE2,7746,7953
p2,0-0-1000005255,1000005255,1,PIPE_MTE2,7953,8160
p2,0-0-1000004907,1000004907,1,PIPE_MTE2,8160,8367
p2,0-0-1000006251,1000006251,1,PIPE_MTE2,8367,8676
p2,0-0-1000005429,1000005429,1,PIPE_MTE2,8676,8883
p2,0-0-1000006167,1000006167,1,PIPE_MTE2,8883,9192
p2,0-0-1000005129,1000005129,1,PIPE_MTE2,9192,9399
p2,0-0-1000005303,1000005303,1,PIPE_MTE2,9399,9606
p2,0-0-1000004955,1000004955,1,PIPE_MTE2,9606,9813
p2,0-0-454,454,1,PIPE_M,9804,12900
p2,0-0-1000006257,1000006257,1,PIPE_MTE2,9813,10122
p2,0-0-598,598,1,PIPE_M,12900,15996
p2,0-0-455,455,1,PIPE_M,15996,19092
p2,0-0-599,599,1,PIPE_M,19092,22188
p2,0-0-456,456,1,PIPE_M,22188,25284
p2,0-0-1000005477,1000005477,1,PIPE_MTE2,22188,22326
p2,0-0-600,600,1,PIPE_M,25284,28380
p2,0-0-457,457,1,PIPE_M,28380,31476
p2,0-0-1000006173,1000006173,1,PIPE_MTE2,28380,28689
p2,0-0-601,601,1,PIPE_M,31476,34572
p2,0-0-458,458,1,PIPE_M,34572,37668
p2,0-0-745,745,1,PIPE_M,37668,40764
p2,0-0-602,602,1,PIPE_M,40764,43860
p2,0-0-1000005177,1000005177,1,PIPE_MTE2,40764,41178
p2,0-0-1000007916,1000007916,1,PIPE_MTE3,40764,41620
p2,0-0-1000005351,1000005351,1,PIPE_MTE2,41620,41758
p2,0-0-459,459,1,PIPE_M,43860,46956
p2,0-0-746,746,1,PIPE_M,46956,50052
p2,0-0-603,603,1,PIPE_M,50052,53148
p2,0-0-1000005003,1000005003,1,PIPE_MTE2,50052,50466
p2,0-0-1000007928,1000007928,1,PIPE_MTE3,50052,51080
p2,0-0-1000006263,1000006263,1,PIPE_MTE2,50466,50981
p2,0-0-460,460,1,PIPE_M,53148,56244
p2,0-0-1000005525,1000005525,1,PIPE_MTE2,53148,53355
p2,0-0-747,747,1,PIPE_M,56244,59340
p2,0-0-604,604,1,PIPE_M,59340,62436
p2,0-0-1000006179,1000006179,1,PIPE_MTE2,59340,59855
p2,0-0-1000007896,1000007896,1,PIPE_MTE3,59340,60161
p2,0-0-1000005225,1000005225,1,PIPE_MTE2,60161,60368
p2,0-0-461,461,1,PIPE_M,62436,65532
p2,0-0-1000008234,1000008234,1,PIPE_MTE3,62436,63154
p2,0-0-1000005399,1000005399,1,PIPE_MTE2,63154,63361
p2,0-0-748,748,1,PIPE_M,65532,68628
p2,0-0-605,605,1,PIPE_M,68628,71724
p2,0-0-1000005051,1000005051,1,PIPE_MTE2,68628,68973
p2,0-0-1000007884,1000007884,1,PIPE_MTE3,68628,69381
p2,0-0-1000006269,1000006269,1,PIPE_MTE2,69381,69656
p2,0-0-892,892,1,PIPE_M,71724,74820
p2,0-0-1000008190,1000008190,1,PIPE_MTE3,71724,72408
p2,0-0-1000005573,1000005573,1,PIPE_MTE2,72408,72615
p2,0-0-1000006185,1000006185,1,PIPE_MTE2,72615,72855
p2,0-0-462,462,1,PIPE_M,74820,77916
p2,0-0-1000007802,1000007802,1,PIPE_MTE3,74820,75435
p2,0-0-1000005273,1000005273,1,PIPE_MTE2,75435,75642
p2,0-0-749,749,1,PIPE_M,77916,81012
p2,0-0-606,606,1,PIPE_M,81012,84108
p2,0-0-1000004925,1000004925,1,PIPE_MTE2,81012,81357
p2,0-0-1000007860,1000007860,1,PIPE_MTE3,81012,81765
p2,0-0-893,893,1,PIPE_M,84108,87204
p2,0-0-1000005447,1000005447,1,PIPE_MTE2,84108,84522
p2,0-0-1000008120,1000008120,1,PIPE_MTE3,84108,84930
p2,0-0-463,463,1,PIPE_M,87204,90300
p2,0-0-1000005099,1000005099,1,PIPE_MTE2,87204,87618
p2,0-0-1000007810,1000007810,1,PIPE_MTE3,87204,88026
p2,0-0-1000006275,1000006275,1,PIPE_MTE2,88026,88232
p2,0-0-750,750,1,PIPE_M,90300,93396
p2,0-0-607,607,1,PIPE_M,93396,96492
p2,0-0-1000005621,1000005621,1,PIPE_MTE2,93396,93741
p2,0-0-1000007866,1000007866,1,PIPE_MTE3,93396,94149
p2,0-0-1000006191,1000006191,1,PIPE_MTE2,94149,94458
p2,0-0-894,894,1,PIPE_M,96492,99588
p2,0-0-1000008162,1000008162,1,PIPE_MTE3,96492,97176
p2,0-0-1000005321,1000005321,1,PIPE_MTE2,97176,97383
p2,0-0-464,464,1,PIPE_M,99588,102684
p2,0-0-1000007794,1000007794,1,PIPE_MTE3,99588,100203
p2,0-0-1000004973,1000004973,1,PIPE_MTE2,100203,100410
p2,0-0-751,751,1,PIPE_M,102684,105780
p2,0-0-608,608,1,PIPE_M,105780,108876
p2,0-0-1000005495,1000005495,1,PIPE_MTE2,105780,106194
p2,0-0-1000007850,1000007850,1,PIPE_MTE3,105780,106602
p2,0-0-1000005147,1000005147,1,PIPE_MTE2,106602,106740
p2,0-0-895,895,1,PIPE_M,108876,111972
p2,0-0-1000006281,1000006281,1,PIPE_MTE2,108876,109460
p2,0-0-1000008102,1000008102,1,PIPE_MTE3,108876,109766
p2,0-0-465,465,1,PIPE_M,111972,115068
p2,0-0-1000005669,1000005669,1,PIPE_MTE2,111972,112386
p2,0-0-1000007820,1000007820,1,PIPE_MTE3,111972,112828
p2,0-0-1000006197,1000006197,1,PIPE_MTE2,112828,113034
p2,0-0-752,752,1,PIPE_M,115068,118164
p2,0-0-1039,1039,1,PIPE_M,118164,121260
p2,0-0-1000005369,1000005369,1,PIPE_MTE2,118164,118578
p2,0-0-1000007836,1000007836,1,PIPE_MTE3,118164,119020
p2,0-0-1000005021,1000005021,1,PIPE_MTE2,119020,119158
p2,0-0-609,609,1,PIPE_M,121260,124356
p2,0-0-1000007842,1000007842,1,PIPE_MTE3,121260,121944
p2,0-0-1000005543,1000005543,1,PIPE_MTE2,121944,122151
p2,0-0-896,896,1,PIPE_M,124356,127452
p2,0-0-1000008074,1000008074,1,PIPE_MTE3,124356,124971
p2,0-0-1000005195,1000005195,1,PIPE_MTE2,124971,125178
p2,0-0-466,466,1,PIPE_M,127452,130548
p2,0-0-1000006287,1000006287,1,PIPE_MTE2,127452,127864
p2,0-0-1000007856,1000007856,1,PIPE_MTE3,127452,128170
p2,0-0-753,753,1,PIPE_M,130548,133644
p2,0-0-1000005717,1000005717,1,PIPE_MTE2,130548,130686
p2,0-0-1040,1040,1,PIPE_M,133644,136740
p2,0-0-1000006203,1000006203,1,PIPE_MTE2,133644,134056
p2,0-0-1000007880,1000007880,1,PIPE_MTE3,133644,134362
p2,0-0-1000005417,1000005417,1,PIPE_MTE2,134362,134569
p2,0-0-610,610,1,PIPE_M,136740,139836
p2,0-0-1000007874,1000007874,1,PIPE_MTE3,136740,137424
p2,0-0-1000005069,1000005069,1,PIPE_MTE2,137424,137562
p2,0-0-897,897,1,PIPE_M,139836,142932
p2,0-0-1000008002,1000008002,1,PIPE_MTE3,139836,140589
p2,0-0-1000005591,1000005591,1,PIPE_MTE2,140589,140658
p2,0-0-467,467,1,PIPE_M,142932,146028
p2,0-0-1000007890,1000007890,1,PIPE_MTE3,142932,143685
p2,0-0-1000005243,1000005243,1,PIPE_MTE2,143685,143823
p2,0-0-754,754,1,PIPE_M,146028,149124
p2,0-0-1041,1041,1,PIPE_M,149124,152220
p2,0-0-1000006293,1000006293,1,PIPE_MTE2,149124,149605
p2,0-0-1000007902,1000007902,1,PIPE_MTE3,149124,149911
p2,0-0-1000004943,1000004943,1,PIPE_MTE2,149911,150118
p2,0-0-611,611,1,PIPE_M,152220,155316
p2,0-0-1000007908,1000007908,1,PIPE_MTE3,152220,152973
p2,0-0-1000005765,1000005765,1,PIPE_MTE2,152973,153180
p2,0-0-898,898,1,PIPE_M,155316,158412
p2,0-0-1000006209,1000006209,1,PIPE_MTE2,155316,155797
p2,0-0-1000008038,1000008038,1,PIPE_MTE3,155316,156103
p2,0-0-468,468,1,PIPE_M,158412,161508
p2,0-0-1000005465,1000005465,1,PIPE_MTE2,158412,158688
p2,0-0-1000007922,1000007922,1,PIPE_MTE3,158412,159096
p2,0-0-755,755,1,PIPE_M,161508,164604
p2,0-0-1000005117,1000005117,1,PIPE_MTE2,161508,161577
p2,0-0-1042,1042,1,PIPE_M,164604,167700
p2,0-0-1000007934,1000007934,1,PIPE_MTE3,164604,165357
p2,0-0-1000005639,1000005639,1,PIPE_MTE2,165357,165495
p2,0-0-612,612,1,PIPE_M,167700,170796
p2,0-0-1000007940,1000007940,1,PIPE_MTE3,167700,168487
p2,0-0-1000005291,1000005291,1,PIPE_MTE2,168487,168694
p2,0-0-1000006299,1000006299,1,PIPE_MTE2,168694,168797
p2,0-0-899,899,1,PIPE_M,170796,173892
p2,0-0-1000007966,1000007966,1,PIPE_MTE3,170796,171617
p2,0-0-1000004991,1000004991,1,PIPE_MTE2,171617,171755
p2,0-0-1186,1186,1,PIPE_M,173892,176988
p2,0-0-1000007954,1000007954,1,PIPE_MTE3,173892,174679
p2,0-0-1000005813,1000005813,1,PIPE_MTE2,174679,174817
p2,0-0-469,469,1,PIPE_M,176988,180084
p2,0-0-1000006215,1000006215,1,PIPE_MTE2,176988,177469
p2,0-0-1000007960,1000007960,1,PIPE_MTE3,176988,177775
p2,0-0-1000005513,1000005513,1,PIPE_MTE2,177775,177982
p2,0-0-756,756,1,PIPE_M,180084,183180
p2,0-0-1043,1043,1,PIPE_M,183180,186276
p2,0-0-1000005165,1000005165,1,PIPE_MTE2,183180,183594
p2,0-0-1000007972,1000007972,1,PIPE_MTE3,183180,184002
p2,0-0-613,613,1,PIPE_M,186276,189372
p2,0-0-1000005687,1000005687,1,PIPE_MTE2,186276,186621
p2,0-0-1000007978,1000007978,1,PIPE_MTE3,186276,187029
p2,0-0-900,900,1,PIPE_M,189372,192468
p2,0-0-1000005339,1000005339,1,PIPE_MTE2,189372,189648
p2,0-0-1000007984,1000007984,1,PIPE_MTE3,189372,190056
p2,0-0-1000006305,1000006305,1,PIPE_MTE2,190056,190331
p2,0-0-1187,1187,1,PIPE_M,192468,195564
p2,0-0-1000007990,1000007990,1,PIPE_MTE3,192468,193186
p2,0-0-1000005039,1000005039,1,PIPE_MTE2,193186,193324
p2,0-0-470,470,1,PIPE_M,195564,198660
p2,0-0-1000005861,1000005861,1,PIPE_MTE2,195564,195978
p2,0-0-1000007996,1000007996,1,PIPE_MTE3,195564,196420
p2,0-0-1000006221,1000006221,1,PIPE_MTE2,196420,196626
p2,0-0-757,757,1,PIPE_M,198660,201756
p2,0-0-1044,1044,1,PIPE_M,201756,204852
p2,0-0-1000005561,1000005561,1,PIPE_MTE2,201756,202101
p2,0-0-1000008008,1000008008,1,PIPE_MTE3,201756,202509
p2,0-0-1000005213,1000005213,1,PIPE_MTE2,202509,202716
p2,0-0-614,614,1,PIPE_M,204852,207948
p2,0-0-1000008014,1000008014,1,PIPE_MTE3,204852,205536
p2,0-0-1000005735,1000005735,1,PIPE_MTE2,205536,205743
p2,0-0-901,901,1,PIPE_M,207948,211044
p2,0-0-1000008020,1000008020,1,PIPE_MTE3,207948,208563
p2,0-0-1000005387,1000005387,1,PIPE_MTE2,208563,208770
p2,0-0-1188,1188,1,PIPE_M,211044,214140
p2,0-0-1000008026,1000008026,1,PIPE_MTE3,211044,211659
p2,0-0-1000006311,1000006311,1,PIPE_MTE2,211659,211934
p2,0-0-471,471,1,PIPE_M,214140,217236
p2,0-0-1000005087,1000005087,1,PIPE_MTE2,214140,214416
p2,0-0-1000008032,1000008032,1,PIPE_MTE3,214140,214824
p2,0-0-1000005909,1000005909,1,PIPE_MTE2,214824,215031
p2,0-0-758,758,1,PIPE_M,217236,220332
p2,0-0-1045,1045,1,PIPE_M,220332,223428
p2,0-0-1000006227,1000006227,1,PIPE_MTE2,220332,220950
p2,0-0-1000008044,1000008044,1,PIPE_MTE3,220332,221325
p2,0-0-1000005609,1000005609,1,PIPE_MTE2,221325,221394
p2,0-0-615,615,1,PIPE_M,223428,226524
p2,0-0-1000008050,1000008050,1,PIPE_MTE3,223428,224284
p2,0-0-1000005261,1000005261,1,PIPE_MTE2,224284,224422
p2,0-0-902,902,1,PIPE_M,226524,229620
p2,0-0-1000008056,1000008056,1,PIPE_MTE3,226524,227208
p2,0-0-1000004913,1000004913,1,PIPE_MTE2,227208,227415
p2,0-0-1189,1189,1,PIPE_M,229620,232716
p2,0-0-1000006401,1000006401,1,PIPE_MTE2,229620,230032
p2,0-0-1000008062,1000008062,1,PIPE_MTE3,229620,230338
p2,0-0-472,472,1,PIPE_M,232716,235812
p2,0-0-1000005783,1000005783,1,PIPE_MTE2,232716,232992
p2,0-0-1000008068,1000008068,1,PIPE_MTE3,232716,233400
p2,0-0-1000005435,1000005435,1,PIPE_MTE2,233400,233607
p2,0-0-759,759,1,PIPE_M,235812,238908
p2,0-0-1000006317,1000006317,1,PIPE_MTE2,235812,236018
p2,0-0-1046,1046,1,PIPE_M,238908,242004
p2,0-0-1000008080,1000008080,1,PIPE_MTE3,238908,239523
p2,0-0-1000005135,1000005135,1,PIPE_MTE2,239523,239730
p2,0-0-1333,1333,1,PIPE_M,242004,245100
p2,0-0-1000008086,1000008086,1,PIPE_MTE3,242004,242619
p2,0-0-1000005957,1000005957,1,PIPE_MTE2,242619,242826
p2,0-0-1000006233,1000006233,1,PIPE_MTE2,242826,243135
p2,0-0-616,616,1,PIPE_M,245100,248196
p2,0-0-1000008092,1000008092,1,PIPE_MTE3,245100,245715
p2,0-0-1000005657,1000005657,1,PIPE_MTE2,245715,245922
p2,0-0-903,903,1,PIPE_M,248196,251292
p2,0-0-1000008098,1000008098,1,PIPE_MTE3,248196,248914
p2,0-0-1000005309,1000005309,1,PIPE_MTE2,248914,249121
p2,0-0-1190,1190,1,PIPE_M,251292,254388
p2,0-0-1000008108,1000008108,1,PIPE_MTE3,251292,251907
p2,0-0-1000004961,1000004961,1,PIPE_MTE2,251907,252114
p2,0-0-473,473,1,PIPE_M,254388,257484
p2,0-0-1000006407,1000006407,1,PIPE_MTE2,254388,254800
p2,0-0-1000008114,1000008114,1,PIPE_MTE3,254388,255106
p2,0-0-1000005831,1000005831,1,PIPE_MTE2,255106,255313
p2,0-0-760,760,1,PIPE_M,257484,260580
p2,0-0-1047,1047,1,PIPE_M,260580,263676
p2,0-0-1000005483,1000005483,1,PIPE_MTE2,260580,260925
p2,0-0-1000008132,1000008132,1,PIPE_MTE3,260580,261333
p2,0-0-1000006323,1000006323,1,PIPE_MTE2,261333,261608
p2,0-0-1334,1334,1,PIPE_M,263676,266772
p2,0-0-1000008128,1000008128,1,PIPE_MTE3,263676,264429
p2,0-0-1000005183,1000005183,1,PIPE_MTE2,264429,264636
p2,0-0-617,617,1,PIPE_M,266772,269868
p2,0-0-1000008138,1000008138,1,PIPE_MTE3,266772,267387
p2,0-0-1000006005,1000006005,1,PIPE_MTE2,267387,267594
p2,0-0-1000006239,1000006239,1,PIPE_MTE2,267594,267903
p2,0-0-904,904,1,PIPE_M,269868,272964
p2,0-0-1000008144,1000008144,1,PIPE_MTE3,269868,270483
p2,0-0-1000005705,1000005705,1,PIPE_MTE2,270483,270690
p2,0-0-1191,1191,1,PIPE_M,272964,276060
p2,0-0-1000008150,1000008150,1,PIPE_MTE3,272964,273579
p2,0-0-1000005357,1000005357,1,PIPE_MTE2,273579,273786
p2,0-0-474,474,1,PIPE_M,276060,279156
p2,0-0-1000008156,1000008156,1,PIPE_MTE3,276060,276675
p2,0-0-1000005009,1000005009,1,PIPE_MTE2,276675,276882
p2,0-0-1000006413,1000006413,1,PIPE_MTE2,276882,276985
p2,0-0-761,761,1,PIPE_M,279156,282252
p2,0-0-1048,1048,1,PIPE_M,282252,285348
p2,0-0-1000008168,1000008168,1,PIPE_MTE3,282252,282867
p2,0-0-1000005879,1000005879,1,PIPE_MTE2,282867,283074
p2,0-0-1335,1335,1,PIPE_M,285348,288444
p2,0-0-1000008174,1000008174,1,PIPE_MTE3,285348,286032
p2,0-0-1000005531,1000005531,1,PIPE_MTE2,286032,286239
p2,0-0-1000006329,1000006329,1,PIPE_MTE2,286239,286376
p2,0-0-618,618,1,PIPE_M,288444,291540
p2,0-0-1000008180,1000008180,1,PIPE_MTE3,288444,289059
p2,0-0-1000005231,1000005231,1,PIPE_MTE2,289059,289266
p2,0-0-905,905,1,PIPE_M,291540,294636
p2,0-0-1000008186,1000008186,1,PIPE_MTE3,291540,292155
p2,0-0-1000006053,1000006053,1,PIPE_MTE2,292155,292362
p2,0-0-1192,1192,1,PIPE_M,294636,297732
p2,0-0-1000006245,1000006245,1,PIPE_MTE2,294636,295151
p2,0-0-1000008196,1000008196,1,PIPE_MTE3,294636,295457
p2,0-0-475,475,1,PIPE_M,297732,300828
p2,0-0-1000005753,1000005753,1,PIPE_MTE2,297732,298146
p2,0-0-1000008202,1000008202,1,PIPE_MTE3,297732,298588
p2,0-0-1000005405,1000005405,1,PIPE_MTE2,298588,298657
p2,0-0-762,762,1,PIPE_M,300828,303924
p2,0-0-1049,1049,1,PIPE_M,303924,307020
p2,0-0-1000005057,1000005057,1,PIPE_MTE2,303924,304200
p2,0-0-1000008212,1000008212,1,PIPE_MTE3,303924,304608
p2,0-0-1000006419,1000006419,1,PIPE_MTE2,304608,304849
p2,0-0-1336,1336,1,PIPE_M,307020,310116
p2,0-0-1000008218,1000008218,1,PIPE_MTE3,307020,307499
p2,0-0-1000005927,1000005927,1,PIPE_MTE2,307499,307568
p2,0-0-619,619,1,PIPE_M,310116,313212
p2,0-0-1000008224,1000008224,1,PIPE_MTE3,310116,310595
p2,0-0-1000005579,1000005579,1,PIPE_MTE2,310595,310733
p2,0-0-1000006335,1000006335,1,PIPE_MTE2,310733,310940
p2,0-0-1000008230,1000008230,1,PIPE_MTE3,313212,313622
p2,0-0-906,906,1,PIPE_M,313622,316718
p2,0-0-1000005279,1000005279,1,PIPE_MTE2,313622,313760
p2,0-0-1000008240,1000008240,1,PIPE_MTE3,316718,316923
p2,0-0-1193,1193,1,PIPE_M,316923,320019
p2,0-0-1000004931,1000004931,1,PIPE_MTE2,316923,316992
p2,0-0-1480,1480,1,PIPE_M,320019,323115
p2,0-0-1000008256,1000008256,1,PIPE_MTE3,320019,320224
p2,0-0-476,476,1,PIPE_V,320224,320632
p2,0-0-1000005801,1000005801,1,PIPE_MTE2,320632,320739
p2,0-0-1000005453,1000005453,1,PIPE_MTE2,320739,320808
p2,0-0-763,763,1,PIPE_M,323115,326211
p2,0-0-1000008248,1000008248,1,PIPE_MTE3,323115,323460
p2,0-0-1000005105,1000005105,1,PIPE_MTE2,323460,323596
p2,0-0-1000006425,1000006425,1,PIPE_MTE2,323596,323699
p2,0-0-1050,1050,1,PIPE_M,326211,329307
p2,0-0-1337,1337,1,PIPE_M,329307,332403
p2,0-0-1000008262,1000008262,1,PIPE_MTE3,332403,332675
p2,0-0-477,477,1,PIPE_V,332675,333083
p2,0-0-478,478,1,PIPE_V,333083,333491
p2,0-0-1000005975,1000005975,1,PIPE_MTE2,333083,333152
p2,0-0-479,479,1,PIPE_V,333491,333899
p2,0-0-620,620,1,PIPE_M,333491,336587
p2,0-0-1000005627,1000005627,1,PIPE_MTE2,333491,333560
p2,0-0-480,480,1,PIPE_V,333899,334307
p2,0-0-1000006341,1000006341,1,PIPE_MTE2,333899,334002
p2,0-0-1000005327,1000005327,1,PIPE_MTE2,334002,334071
p2,0-0-1000004979,1000004979,1,PIPE_MTE2,334307,334425
p2,0-0-907,907,1,PIPE_M,336587,339683
p2,0-0-1194,1194,1,PIPE_M,339683,342779
p2,0-0-481,481,1,PIPE_V,342779,343187
p2,0-0-1481,1481,1,PIPE_M,342779,345875
p2,0-0-482,482,1,PIPE_V,343187,343595
p2,0-0-1000005849,1000005849,1,PIPE_MTE2,343187,343256
p2,0-0-483,483,1,PIPE_V,343595,344003
p2,0-0-484,484,1,PIPE_V,344003,344411
p2,0-0-1000005501,1000005501,1,PIPE_MTE2,344003,344072
p2,0-0-1000005153,1000005153,1,PIPE_MTE2,344072,344141
p2,0-0-1000006431,1000006431,1,PIPE_MTE2,344141,344244
p2,0-0-764,764,1,PIPE_M,345875,348971
p2,0-0-1000008358,1000008358,1,PIPE_MTE3,345875,346080
p2,0-0-485,485,1,PIPE_V,346080,346488
p2,0-0-486,486,1,PIPE_V,346488,346896
p2,0-0-487,487,1,PIPE_V,348971,349379
p2,0-0-1051,1051,1,PIPE_M,348971,352067
p2,0-0-1000006023,1000006023,1,PIPE_MTE2,348971,349040
p2,0-0-1000005675,1000005675,1,PIPE_MTE2,349040,349109
p2,0-0-1000006347,1000006347,1,PIPE_MTE2,349109,349212
p2,0-0-1000005375,1000005375,1,PIPE_MTE2,349212,349281
p2,0-0-488,488,1,PIPE_V,349379,349787
p2,0-0-1000005027,1000005027,1,PIPE_MTE2,349379,349448
p2,0-0-1000005897,1000005897,1,PIPE_MTE2,349787,349856
p2,0-0-1338,1338,1,PIPE_M,352067,355163
p2,0-0-621,621,1,PIPE_M,355163,358259
p2,0-0-1000008444,1000008444,1,PIPE_MTE3,355163,355368
p2,0-0-489,489,1,PIPE_V,355368,355776
p2,0-0-490,490,1,PIPE_V,358259,358667
p2,0-0-908,908,1,PIPE_M,358259,361355
p2,0-0-491,491,1,PIPE_V,358667,359075
p2,0-0-492,492,1,PIPE_V,359075,359483
p2,0-0-493,493,1,PIPE_V,359483,359891
p2,0-0-494,494,1,PIPE_V,359891,360299
p2,0-0-1195,1195,1,PIPE_M,361355,364451
p2,0-0-1482,1482,1,PIPE_M,364451,367547
p2,0-0-1000005549,1000005549,1,PIPE_MTE2,364451,364520
p2,0-0-1000005201,1000005201,1,PIPE_MTE2,364520,364589
p2,0-0-1000006437,1000006437,1,PIPE_MTE2,364589,364692
p2,0-0-495,495,1,PIPE_V,367547,367955
p2,0-0-765,765,1,PIPE_M,367547,370643
p2,0-0-1000006071,1000006071,1,PIPE_MTE2,367547,367685
p2,0-0-1000008354,1000008354,1,PIPE_MTE3,367547,367821
p2,0-0-496,496,1,PIPE_V,367955,368363
p2,0-0-497,497,1,PIPE_V,368363,368771
p2,0-0-498,498,1,PIPE_V,368771,369179
p2,0-0-499,499,1,PIPE_V,369179,369587
p2,0-0-1052,1052,1,PIPE_M,370643,373739
p2,0-0-1000005723,1000005723,1,PIPE_MTE2,370643,370712
p2,0-0-1000006353,1000006353,1,PIPE_MTE2,370712,370815
p2,0-0-1000005423,1000005423,1,PIPE_MTE2,370815,370884
p2,0-0-1000005075,1000005075,1,PIPE_MTE2,370884,370953
p2,0-0-1000005945,1000005945,1,PIPE_MTE2,370953,371022
p2,0-0-1339,1339,1,PIPE_M,373739,376835
p2,0-0-622,622,1,PIPE_M,376835,379931
p2,0-0-1000008384,1000008384,1,PIPE_MTE3,376835,377040
p2,0-0-1000005597,1000005597,1,PIPE_MTE2,377040,377109
p2,0-0-1000005249,1000005249,1,PIPE_MTE2,377109,377178
p2,0-0-1000006443,1000006443,1,PIPE_MTE2,377178,377281
p2,0-0-909,909,1,PIPE_M,379931,383027
p2,0-0-1196,1196,1,PIPE_M,383027,386123
p2,0-0-1483,1483,1,PIPE_M,386123,389219
p2,0-0-1000006551,1000006551,1,PIPE_MTE2,386123,386329
p2,0-0-1000008504,1000008504,1,PIPE_MTE3,386123,386533
p2,0-0-1000005771,1000005771,1,PIPE_MTE2,386329,386467
p2,0-0-1000006359,1000006359,1,PIPE_MTE2,386467,386603
p2,0-0-623,623,1,PIPE_V,386533,386941
p2,0-0-1000005471,1000005471,1,PIPE_MTE2,386603,386672
p2,0-0-1000005123,1000005123,1,PIPE_MTE2,386672,386741
p2,0-0-624,624,1,PIPE_V,386941,387349
p2,0-0-766,766,1,PIPE_M,389219,392315
p2,0-0-1000008346,1000008346,1,PIPE_MTE3,389219,389424
p2,0-0-625,625,1,PIPE_V,389424,389832
p2,0-0-1000007601,1000007601,1,PIPE_MTE3,389424,389629
p2,0-0-1000005993,1000005993,1,PIPE_MTE2,389629,389698
p2,0-0-626,626,1,PIPE_V,389832,390240
p2,0-0-1053,1053,1,PIPE_M,392315,395411
p2,0-0-1340,1340,1,PIPE_M,395411,398507
p2,0-0-1627,1627,1,PIPE_M,398507,401603
p2,0-0-1000008235,1000008235,1,PIPE_MTE2,398507,398917
p2,0-0-1000008378,1000008378,1,PIPE_MTE3,398507,398917
p2,0-0-627,627,1,PIPE_V,398917,399325
p2,0-0-1000005645,1000005645,1,PIPE_MTE2,398917,398986
p2,0-0-1000005297,1000005297,1,PIPE_MTE2,398986,399055
p2,0-0-910,910,1,PIPE_M,401603,404699
p2,0-0-1000006449,1000006449,1,PIPE_MTE2,401603,401809
p2,0-0-1000008324,1000008324,1,PIPE_MTE3,401603,401911
p2,0-0-1197,1197,1,PIPE_M,404699,407795
p2,0-0-1000006557,1000006557,1,PIPE_MTE2,404699,404802
p2,0-0-1484,1484,1,PIPE_M,407795,410891
p2,0-0-1000008208,1000008208,1,PIPE_MTE2,407795,408002
p2,0-0-1000008494,1000008494,1,PIPE_MTE3,407795,408213
p2,0-0-1000008191,1000008191,1,PIPE_MTE2,408213,408418
p2,0-0-628,628,1,PIPE_V,408418,408826
