attempt_id,status,eligible,reasons
farmeruncle123-farmer-q1-v3-20260924-P1-005-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-005-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-006-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-006-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-006-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-006-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-006-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-007-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-007-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-007-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-007-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-007-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-008-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-008-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-008-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-008-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-008-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-009-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-009-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-009-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-009-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-009-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-010-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-010-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-010-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-010-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-010-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-011-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-011-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-011-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-011-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-011-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-012-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-012-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-012-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-012-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-012-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-013-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-013-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-013-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-013-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-013-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-014-k2-seed0-repeat0-v2arch,ok,no,artifact too large
farmeruncle123-farmer-q1-v3-20260924-P1-014-k3-seed0-repeat0-v2arch,ok,no,artifact too large
farmeruncle123-farmer-q1-v3-20260924-P1-014-k4-seed0-repeat0-v2arch,ok,no,artifact too large
farmeruncle123-farmer-q1-v3-20260924-P1-014-k5-seed0-repeat0-v2arch,failed,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-014-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-015-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-015-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-015-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-015-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-015-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-016-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-016-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-016-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-016-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-016-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-017-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-017-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-017-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-017-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-017-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-018-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-018-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-018-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-018-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-018-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-019-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-019-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-019-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-019-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-019-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-020-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-020-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-020-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-020-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-020-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-021-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-021-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-021-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-021-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-021-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-022-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-022-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-022-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-022-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-022-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-023-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-023-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-023-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-023-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-023-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-024-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-024-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-024-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-024-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-024-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-025-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-025-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-025-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-025-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-025-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-026-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-026-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-026-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-026-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-026-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-027-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-027-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-027-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-027-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-027-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-028-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-028-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-028-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-028-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-028-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-029-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-029-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-029-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-029-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-029-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-030-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-030-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-030-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-030-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-030-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-031-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-031-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-031-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-031-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-031-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-032-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-032-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-032-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-032-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-032-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-033-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-033-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-033-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-033-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-033-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-034-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-034-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-034-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-034-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-034-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-035-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-035-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-035-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-035-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-035-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-036-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-036-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-036-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-036-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-036-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-037-k2-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-037-k3-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-037-k4-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-037-k5-seed0-repeat0,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-037-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-038-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-039-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-040-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-041-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-042-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-043-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-044-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-045-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-046-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-047-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-048-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-049-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-050-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-051-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-052-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-053-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-054-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-055-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-056-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-057-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-057-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-057-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-057-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-057-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-058-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-058-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-058-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-058-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-058-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-059-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-059-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-059-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-059-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-059-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-060-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-060-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-060-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-060-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-060-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-061-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-061-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-061-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-061-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-061-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-062-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-062-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-062-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-062-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-062-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-063-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-063-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-063-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-063-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-063-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-064-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-064-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-064-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-064-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-064-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-065-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-065-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-065-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-065-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-065-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-066-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-066-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-066-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-066-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-066-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-067-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-067-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-067-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-067-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-067-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-068-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-069-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-070-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-071-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-072-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-073-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-074-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-075-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-076-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-077-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-078-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-079-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-080-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-081-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-082-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-083-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-084-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-085-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-086-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-087-k1-official-singlecore,timeout,no,未成功的尝试不参与最优选择
farmeruncle123-farmer-q1-v3-20260924-P1-088-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-089-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-089-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-089-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-090-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-090-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-090-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-090-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-090-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-091-k2-seed0-repeat0-v2arch,ok,yes,
