variant,event_id,op_id,core,source_core_id,pipe,start,end
seed,74,Subgraph 4218,1,0,SUBGRAPH,6885,7119
seed,75,Subgraph 4256,1,0,SUBGRAPH,6909,7125
seed,76,Subgraph 4294,1,0,SUBGRAPH,6933,7128
seed,77,Subgraph 4332,1,0,SUBGRAPH,6957,7131
seed,78,Subgraph 4479,1,0,SUBGRAPH,6981,7134
seed,79,Subgraph 4399,1,0,SUBGRAPH,6995,7137
seed,80,Subgraph 4419,1,0,SUBGRAPH,7009,7140
seed,81,Subgraph 4439,1,0,SUBGRAPH,7023,7143
seed,82,Subgraph 4459,1,0,SUBGRAPH,7037,7149
seed,83,Subgraph 6563,1,0,SUBGRAPH,7051,7152
seed,84,Subgraph 6430,1,0,SUBGRAPH,7075,7155
seed,85,Subgraph 99,1,0,SUBGRAPH,7097,7410
seed,86,Subgraph 6468,1,0,SUBGRAPH,7099,7419
seed,87,Subgraph 6506,1,0,SUBGRAPH,7123,7428
seed,88,Subgraph 6544,1,0,SUBGRAPH,7147,7437
seed,89,Subgraph 6602,1,0,SUBGRAPH,6098,7185
seed,90,Subgraph 6622,1,0,SUBGRAPH,7185,7199
seed,91,Subgraph 6642,1,0,SUBGRAPH,7199,7213
seed,92,Subgraph 6662,1,0,SUBGRAPH,7213,7227
seed,93,Subgraph 8604,1,0,SUBGRAPH,7227,7446
seed,94,Subgraph 8642,1,0,SUBGRAPH,7251,7455
seed,95,Subgraph 8680,1,0,SUBGRAPH,7275,7464
seed,96,Subgraph 8718,1,0,SUBGRAPH,7299,7473
seed,97,Subgraph 8865,1,0,SUBGRAPH,7323,7482
seed,98,Subgraph 8785,1,0,SUBGRAPH,7337,7491
seed,99,Subgraph 8805,1,0,SUBGRAPH,7351,7502
seed,100,Subgraph 102,1,0,SUBGRAPH,7365,7705
seed,101,Subgraph 8825,1,0,SUBGRAPH,7365,7717
seed,102,Subgraph 8845,1,0,SUBGRAPH,7379,7726
seed,103,Subgraph 10949,1,0,SUBGRAPH,7393,7735
seed,104,Subgraph 10816,1,0,SUBGRAPH,7417,7744
seed,105,Subgraph 10854,1,0,SUBGRAPH,7441,7753
seed,106,Subgraph 10892,1,0,SUBGRAPH,7465,7762
seed,107,Subgraph 10930,1,0,SUBGRAPH,7489,7771
seed,108,Subgraph 10988,1,0,SUBGRAPH,6101,7527
seed,109,Subgraph 11008,1,0,SUBGRAPH,7527,7541
seed,110,Subgraph 11028,1,0,SUBGRAPH,7541,7555
seed,111,Subgraph 11048,1,0,SUBGRAPH,7555,7569
seed,112,Subgraph 13009,1,0,SUBGRAPH,7569,7780
seed,113,Subgraph 13066,1,0,SUBGRAPH,7593,7789
seed,114,Subgraph 12990,1,0,SUBGRAPH,7617,7798
seed,115,Subgraph 105,1,0,SUBGRAPH,7633,7937
seed,116,Subgraph 13085,1,0,SUBGRAPH,7641,7665
seed,117,Subgraph 13176,1,0,SUBGRAPH,6104,7741
seed,118,Subgraph 13177,1,0,SUBGRAPH,7741,7817
seed,119,Subgraph 13178,1,0,SUBGRAPH,7817,7893
seed,120,Subgraph 13179,1,0,SUBGRAPH,7893,7969
seed,121,Subgraph 111,1,0,SUBGRAPH,7901,8205
seed,122,Subgraph 13180,1,0,SUBGRAPH,6173,8045
seed,123,Subgraph 13181,1,0,SUBGRAPH,8045,8121
seed,124,Subgraph 13182,1,0,SUBGRAPH,8121,8197
seed,125,Subgraph 114,1,0,SUBGRAPH,7236,8473
seed,126,Subgraph 13183,1,0,SUBGRAPH,8197,8273
seed,127,Subgraph 13204,1,0,SUBGRAPH,8273,8286
seed,128,Subgraph 13192,1,0,SUBGRAPH,7272,8362
seed,129,Subgraph 13193,1,0,SUBGRAPH,8362,8438
seed,130,Subgraph 117,1,0,SUBGRAPH,8437,8741
seed,131,Subgraph 13194,1,0,SUBGRAPH,8438,8514
seed,132,Subgraph 13195,1,0,SUBGRAPH,8514,8590
seed,133,Subgraph 13196,1,0,SUBGRAPH,7341,8666
seed,134,Subgraph 13197,1,0,SUBGRAPH,8666,8742
seed,135,Subgraph 1059,1,0,SUBGRAPH,7491,8991
seed,136,Subgraph 13198,1,0,SUBGRAPH,8742,8818
seed,137,Subgraph 13199,1,0,SUBGRAPH,8818,8894
seed,138,Subgraph 13206,1,0,SUBGRAPH,8894,8907
seed,139,Subgraph 13216,1,0,SUBGRAPH,7720,8983
seed,140,Subgraph 1062,1,0,SUBGRAPH,8973,9259
seed,141,Subgraph 13217,1,0,SUBGRAPH,8983,9059
seed,142,Subgraph 13207,1,0,SUBGRAPH,8895,9072
seed,143,Subgraph 13208,1,0,SUBGRAPH,9413,9427
seed,144,Subgraph 13209,1,0,SUBGRAPH,9427,9440
seed,145,Subgraph 13259,1,0,SUBGRAPH,9414,9579
seed,146,Subgraph 1065,1,0,SUBGRAPH,9241,9545
seed,147,Subgraph 13212,1,0,SUBGRAPH,9503,9592
seed,148,Subgraph 13260,1,0,SUBGRAPH,9592,9668
seed,149,Subgraph 13215,1,0,SUBGRAPH,9504,9681
seed,150,Subgraph 13218,1,0,SUBGRAPH,9681,9696
seed,151,Subgraph 13219,1,0,SUBGRAPH,9694,9770
seed,152,Subgraph 1068,1,0,SUBGRAPH,9509,9795
seed,153,Subgraph 13220,1,0,SUBGRAPH,9770,9846
seed,154,Subgraph 13221,1,0,SUBGRAPH,9846,9922
seed,155,Subgraph 13222,1,0,SUBGRAPH,9922,9998
seed,156,Subgraph 13223,1,0,SUBGRAPH,9998,10074
seed,157,Subgraph 1071,1,0,SUBGRAPH,9505,10063
seed,158,Subgraph 13224,1,0,SUBGRAPH,10074,10150
seed,159,Subgraph 13225,1,0,SUBGRAPH,10150,10226
seed,160,Subgraph 13226,1,0,SUBGRAPH,10226,10302
seed,161,Subgraph 1074,1,0,SUBGRAPH,10045,10331
seed,162,Subgraph 13247,1,0,SUBGRAPH,10302,10332
seed,163,Subgraph 13235,1,0,SUBGRAPH,10315,10391
seed,164,Subgraph 13236,1,0,SUBGRAPH,10391,10467
seed,165,Subgraph 13237,1,0,SUBGRAPH,10467,10543
seed,166,Subgraph 13238,1,0,SUBGRAPH,10543,10619
seed,167,Subgraph 1077,1,0,SUBGRAPH,10313,10599
seed,168,Subgraph 13239,1,0,SUBGRAPH,10619,10695
seed,169,Subgraph 13240,1,0,SUBGRAPH,10695,10771
seed,170,Subgraph 13241,1,0,SUBGRAPH,10771,10847
seed,171,Subgraph 1080,1,0,SUBGRAPH,10581,10885
seed,172,Subgraph 13242,1,0,SUBGRAPH,10847,10923
seed,173,Subgraph 13249,1,0,SUBGRAPH,10923,10936
seed,174,Subgraph 13243,1,0,SUBGRAPH,9558,11012
seed,175,Subgraph 13244,1,0,SUBGRAPH,11012,11088
seed,176,Subgraph 13245,1,0,SUBGRAPH,11088,11164
seed,177,Subgraph 120,1,0,SUBGRAPH,9628,11153
seed,178,Subgraph 13246,1,0,SUBGRAPH,11164,11240
seed,179,Subgraph 13251,1,0,SUBGRAPH,11240,11253
seed,180,Subgraph 13252,1,0,SUBGRAPH,11348,11362
seed,181,Subgraph 13255,1,0,SUBGRAPH,11349,11375
seed,182,Subgraph 13258,1,0,SUBGRAPH,11350,11388
seed,183,Subgraph 121,1,0,SUBGRAPH,11351,11725
seed,184,Subgraph 13261,1,0,SUBGRAPH,11388,11726
seed,185,Subgraph 13262,1,0,SUBGRAPH,11401,11477
seed,186,Subgraph 13263,1,0,SUBGRAPH,11477,11553
seed,187,Subgraph 13264,1,0,SUBGRAPH,11553,11629
seed,188,Subgraph 13265,1,0,SUBGRAPH,11629,11705
seed,189,Subgraph 123,1,0,SUBGRAPH,11706,11782
seed,190,Subgraph 124,1,0,SUBGRAPH,11438,11835
seed,191,Subgraph 125,1,0,SUBGRAPH,11439,11858
seed,192,Subgraph 141,1,0,SUBGRAPH,11826,11847
seed,193,Subgraph 126,1,0,SUBGRAPH,11858,11911
seed,194,Subgraph 129,1,0,SUBGRAPH,11457,11934
seed,195,Subgraph 142,1,0,SUBGRAPH,11902,11924
seed,196,Subgraph 130,1,0,SUBGRAPH,11934,11978
seed,197,Subgraph 133,1,0,SUBGRAPH,11475,12010
seed,198,Subgraph 144,1,0,SUBGRAPH,11978,11998
seed,199,Subgraph 134,1,0,SUBGRAPH,12010,12054
seed,200,Subgraph 137,1,0,SUBGRAPH,11493,12086
seed,201,Subgraph 146,1,0,SUBGRAPH,12054,12075
seed,202,Subgraph 138,1,0,SUBGRAPH,12086,12130
seed,203,Subgraph 229,1,0,SUBGRAPH,12086,12162
seed,204,Subgraph 148,1,0,SUBGRAPH,12130,12150
seed,205,Subgraph 230,1,0,SUBGRAPH,12162,12206
seed,206,Subgraph 233,1,0,SUBGRAPH,12162,12238
seed,207,Subgraph 246,1,0,SUBGRAPH,12206,12227
seed,208,Subgraph 234,1,0,SUBGRAPH,12238,12282
seed,209,Subgraph 237,1,0,SUBGRAPH,12238,12314
seed,210,Subgraph 248,1,0,SUBGRAPH,12282,12302
seed,211,Subgraph 238,1,0,SUBGRAPH,12314,12358
seed,212,Subgraph 241,1,0,SUBGRAPH,12314,12390
seed,213,Subgraph 250,1,0,SUBGRAPH,12358,12380
seed,214,Subgraph 242,1,0,SUBGRAPH,12390,12434
seed,215,Subgraph 333,1,0,SUBGRAPH,12390,12466
seed,216,Subgraph 252,1,0,SUBGRAPH,12434,12454
seed,217,Subgraph 334,1,0,SUBGRAPH,12466,12510
seed,218,Subgraph 337,1,0,SUBGRAPH,12466,12542
seed,219,Subgraph 350,1,0,SUBGRAPH,12510,12531
seed,220,Subgraph 338,1,0,SUBGRAPH,12542,12586
seed,221,Subgraph 341,1,0,SUBGRAPH,12542,12618
seed,222,Subgraph 352,1,0,SUBGRAPH,12586,12607
seed,223,Subgraph 342,1,0,SUBGRAPH,12618,12662
seed,224,Subgraph 345,1,0,SUBGRAPH,12618,12694
seed,225,Subgraph 354,1,0,SUBGRAPH,12662,12682
seed,226,Subgraph 346,1,0,SUBGRAPH,12694,12738
seed,227,Subgraph 437,1,0,SUBGRAPH,12694,12770
seed,228,Subgraph 356,1,0,SUBGRAPH,12738,12759
seed,229,Subgraph 438,1,0,SUBGRAPH,12770,12814
seed,230,Subgraph 441,1,0,SUBGRAPH,12770,12846
seed,231,Subgraph 454,1,0,SUBGRAPH,12814,12834
seed,232,Subgraph 442,1,0,SUBGRAPH,12846,12890
seed,233,Subgraph 445,1,0,SUBGRAPH,12846,12922
seed,234,Subgraph 456,1,0,SUBGRAPH,12890,12912
seed,235,Subgraph 446,1,0,SUBGRAPH,12922,12966
seed,236,Subgraph 449,1,0,SUBGRAPH,12922,12998
seed,237,Subgraph 458,1,0,SUBGRAPH,12966,12986
seed,238,Subgraph 450,1,0,SUBGRAPH,12998,13042
seed,239,Subgraph 541,1,0,SUBGRAPH,11511,13074
seed,240,Subgraph 460,1,0,SUBGRAPH,13042,13064
seed,241,Subgraph 542,1,0,SUBGRAPH,13074,13118
seed,242,Subgraph 545,1,0,SUBGRAPH,13074,13150
seed,243,Subgraph 558,1,0,SUBGRAPH,13118,13138
seed,244,Subgraph 546,1,0,SUBGRAPH,13150,13194
seed,245,Subgraph 549,1,0,SUBGRAPH,13150,13226
seed,246,Subgraph 560,1,0,SUBGRAPH,13194,13215
seed,247,Subgraph 550,1,0,SUBGRAPH,13226,13270
seed,248,Subgraph 553,1,0,SUBGRAPH,13226,13302
seed,249,Subgraph 562,1,0,SUBGRAPH,13270,13290
seed,250,Subgraph 554,1,0,SUBGRAPH,13302,13346
seed,251,Subgraph 645,1,0,SUBGRAPH,13302,13378
seed,252,Subgraph 564,1,0,SUBGRAPH,13346,13367
seed,253,Subgraph 646,1,0,SUBGRAPH,13378,13422
seed,254,Subgraph 649,1,0,SUBGRAPH,13378,13454
seed,255,Subgraph 662,1,0,SUBGRAPH,13422,13442
seed,256,Subgraph 650,1,0,SUBGRAPH,13454,13498
seed,257,Subgraph 653,1,0,SUBGRAPH,13454,13530
seed,258,Subgraph 664,1,0,SUBGRAPH,13498,13519
seed,259,Subgraph 654,1,0,SUBGRAPH,13530,13574
seed,260,Subgraph 657,1,0,SUBGRAPH,13530,13606
seed,261,Subgraph 666,1,0,SUBGRAPH,13574,13594
seed,262,Subgraph 658,1,0,SUBGRAPH,13606,13650
seed,263,Subgraph 749,1,0,SUBGRAPH,13606,13682
seed,264,Subgraph 668,1,0,SUBGRAPH,13650,13671
seed,265,Subgraph 750,1,0,SUBGRAPH,13682,13726
seed,266,Subgraph 753,1,0,SUBGRAPH,13682,13758
seed,267,Subgraph 766,1,0,SUBGRAPH,13726,13746
seed,268,Subgraph 754,1,0,SUBGRAPH,13758,13802
seed,269,Subgraph 757,1,0,SUBGRAPH,13758,13834
seed,270,Subgraph 768,1,0,SUBGRAPH,13802,13823
seed,271,Subgraph 758,1,0,SUBGRAPH,13834,13878
seed,272,Subgraph 761,1,0,SUBGRAPH,13834,13910
seed,273,Subgraph 770,1,0,SUBGRAPH,13878,13898
seed,274,Subgraph 762,1,0,SUBGRAPH,13910,13954
seed,275,Subgraph 853,1,0,SUBGRAPH,13910,13986
seed,276,Subgraph 772,1,0,SUBGRAPH,13954,13975
seed,277,Subgraph 854,1,0,SUBGRAPH,13986,14030
seed,278,Subgraph 857,1,0,SUBGRAPH,13986,14062
seed,279,Subgraph 870,1,0,SUBGRAPH,14030,14050
seed,280,Subgraph 858,1,0,SUBGRAPH,14062,14106
seed,281,Subgraph 861,1,0,SUBGRAPH,14062,14138
seed,282,Subgraph 872,1,0,SUBGRAPH,14106,14127
seed,283,Subgraph 862,1,0,SUBGRAPH,14138,14182
seed,284,Subgraph 865,1,0,SUBGRAPH,14138,14214
seed,285,Subgraph 874,1,0,SUBGRAPH,14182,14202
seed,286,Subgraph 866,1,0,SUBGRAPH,14214,14258
seed,287,Subgraph 1088,1,0,SUBGRAPH,11529,14290
seed,288,Subgraph 876,1,0,SUBGRAPH,14258,14279
seed,289,Subgraph 1089,1,0,SUBGRAPH,14290,14334
seed,290,Subgraph 1092,1,0,SUBGRAPH,11547,14366
seed,291,Subgraph 1105,1,0,SUBGRAPH,14334,14354
seed,292,Subgraph 1093,1,0,SUBGRAPH,14366,14410
seed,293,Subgraph 1096,1,0,SUBGRAPH,11565,14442
seed,294,Subgraph 1107,1,0,SUBGRAPH,14410,14431
seed,295,Subgraph 1097,1,0,SUBGRAPH,14442,14486
seed,296,Subgraph 1100,1,0,SUBGRAPH,11593,14518
seed,297,Subgraph 1109,1,0,SUBGRAPH,14486,14506
seed,298,Subgraph 1101,1,0,SUBGRAPH,14518,14562
seed,299,Subgraph 1192,1,0,SUBGRAPH,14518,14594
seed,300,Subgraph 1111,1,0,SUBGRAPH,14562,14583
seed,301,Subgraph 1193,1,0,SUBGRAPH,14594,14638
seed,302,Subgraph 1196,1,0,SUBGRAPH,14594,14670
seed,303,Subgraph 1209,1,0,SUBGRAPH,14638,14658
seed,304,Subgraph 1197,1,0,SUBGRAPH,14670,14714
seed,305,Subgraph 1200,1,0,SUBGRAPH,14670,14746
seed,306,Subgraph 1211,1,0,SUBGRAPH,14714,14735
seed,307,Subgraph 1201,1,0,SUBGRAPH,14746,14790
seed,308,Subgraph 1204,1,0,SUBGRAPH,14746,14822
seed,309,Subgraph 1213,1,0,SUBGRAPH,14790,14810
seed,310,Subgraph 1205,1,0,SUBGRAPH,14822,14866
seed,311,Subgraph 1296,1,0,SUBGRAPH,14822,14898
seed,312,Subgraph 1215,1,0,SUBGRAPH,14866,14887
seed,313,Subgraph 1297,1,0,SUBGRAPH,14898,14942
seed,314,Subgraph 1300,1,0,SUBGRAPH,14898,14974
seed,315,Subgraph 1313,1,0,SUBGRAPH,14942,14962
seed,316,Subgraph 1301,1,0,SUBGRAPH,14974,15018
seed,317,Subgraph 1304,1,0,SUBGRAPH,14974,15050
seed,318,Subgraph 1315,1,0,SUBGRAPH,15018,15039
seed,319,Subgraph 1305,1,0,SUBGRAPH,15050,15094
seed,320,Subgraph 1308,1,0,SUBGRAPH,15050,15126
seed,321,Subgraph 1317,1,0,SUBGRAPH,15094,15114
seed,322,Subgraph 1309,1,0,SUBGRAPH,15126,15170
seed,323,Subgraph 1400,1,0,SUBGRAPH,15126,15202
seed,324,Subgraph 1319,1,0,SUBGRAPH,15170,15191
seed,325,Subgraph 1401,1,0,SUBGRAPH,15202,15246
seed,326,Subgraph 1404,1,0,SUBGRAPH,15202,15278
seed,327,Subgraph 1417,1,0,SUBGRAPH,15246,15266
seed,328,Subgraph 1405,1,0,SUBGRAPH,15278,15322
seed,329,Subgraph 1408,1,0,SUBGRAPH,15278,15354
seed,330,Subgraph 1419,1,0,SUBGRAPH,15322,15343
seed,331,Subgraph 1409,1,0,SUBGRAPH,15354,15398
seed,332,Subgraph 1412,1,0,SUBGRAPH,15354,15430
seed,333,Subgraph 1421,1,0,SUBGRAPH,15398,15418
seed,334,Subgraph 1413,1,0,SUBGRAPH,15430,15474
seed,335,Subgraph 1504,1,0,SUBGRAPH,15430,15506
seed,336,Subgraph 1423,1,0,SUBGRAPH,15474,15495
seed,337,Subgraph 1505,1,0,SUBGRAPH,15506,15550
seed,338,Subgraph 1508,1,0,SUBGRAPH,15506,15582
seed,339,Subgraph 1521,1,0,SUBGRAPH,15550,15570
seed,340,Subgraph 1509,1,0,SUBGRAPH,15582,15626
seed,341,Subgraph 1512,1,0,SUBGRAPH,15582,15658
seed,342,Subgraph 1523,1,0,SUBGRAPH,15626,15647
seed,343,Subgraph 1513,1,0,SUBGRAPH,15658,15702
seed,344,Subgraph 1516,1,0,SUBGRAPH,15658,15734
seed,345,Subgraph 1525,1,0,SUBGRAPH,15702,15722
seed,346,Subgraph 1517,1,0,SUBGRAPH,15734,15778
seed,347,Subgraph 1608,1,0,SUBGRAPH,15734,15810
seed,348,Subgraph 1527,1,0,SUBGRAPH,15778,15799
seed,349,Subgraph 1609,1,0,SUBGRAPH,15810,15854
seed,350,Subgraph 1612,1,0,SUBGRAPH,15810,15886
seed,351,Subgraph 1625,1,0,SUBGRAPH,15854,15874
seed,352,Subgraph 1613,1,0,SUBGRAPH,15886,15930
seed,353,Subgraph 1616,1,0,SUBGRAPH,15886,15962
seed,354,Subgraph 1627,1,0,SUBGRAPH,15930,15951
seed,355,Subgraph 1617,1,0,SUBGRAPH,15962,16006
seed,356,Subgraph 1620,1,0,SUBGRAPH,15962,16038
seed,357,Subgraph 1629,1,0,SUBGRAPH,16006,16026
seed,358,Subgraph 1621,1,0,SUBGRAPH,16038,16082
seed,359,Subgraph 1712,1,0,SUBGRAPH,16038,16114
seed,360,Subgraph 1631,1,0,SUBGRAPH,16082,16103
seed,361,Subgraph 1713,1,0,SUBGRAPH,16114,16158
seed,362,Subgraph 1716,1,0,SUBGRAPH,16114,16190
seed,363,Subgraph 1729,1,0,SUBGRAPH,16158,16178
seed,364,Subgraph 1717,1,0,SUBGRAPH,16190,16234
seed,365,Subgraph 1720,1,0,SUBGRAPH,16190,16266
seed,366,Subgraph 1731,1,0,SUBGRAPH,16234,16255
seed,367,Subgraph 1721,1,0,SUBGRAPH,16266,16310
seed,368,Subgraph 1724,1,0,SUBGRAPH,16266,16342
seed,369,Subgraph 1733,1,0,SUBGRAPH,16310,16330
seed,370,Subgraph 1725,1,0,SUBGRAPH,16342,16386
seed,371,Subgraph 1816,1,0,SUBGRAPH,16342,16418
seed,372,Subgraph 1735,1,0,SUBGRAPH,16386,16407
seed,373,Subgraph 1817,1,0,SUBGRAPH,16418,16462
seed,374,Subgraph 1820,1,0,SUBGRAPH,16418,16494
seed,375,Subgraph 1833,1,0,SUBGRAPH,16462,16482
seed,376,Subgraph 1821,1,0,SUBGRAPH,16494,16538
seed,377,Subgraph 1824,1,0,SUBGRAPH,16494,16570
seed,378,Subgraph 1835,1,0,SUBGRAPH,16538,16560
seed,379,Subgraph 1825,1,0,SUBGRAPH,16570,16614
seed,380,Subgraph 1828,1,0,SUBGRAPH,16570,16646
seed,381,Subgraph 1837,1,0,SUBGRAPH,16614,16634
seed,382,Subgraph 957,1,0,SUBGRAPH,16646,16722
seed,383,Subgraph 1829,1,0,SUBGRAPH,16646,16690
seed,384,Subgraph 1839,1,0,SUBGRAPH,16690,16712
seed,385,Subgraph 958,1,0,SUBGRAPH,16722,16775
seed,386,Subgraph 961,1,0,SUBGRAPH,16722,16798
seed,387,Subgraph 153,1,0,SUBGRAPH,12215,16779
seed,388,Subgraph 154,1,0,SUBGRAPH,16779,16792
seed,389,Subgraph 962,1,0,SUBGRAPH,16798,16852
seed,390,Subgraph 965,1,0,SUBGRAPH,16798,16874
seed,391,Subgraph 155,1,0,SUBGRAPH,16842,16855
seed,392,Subgraph 159,1,0,SUBGRAPH,12366,16868
seed,393,Subgraph 966,1,0,SUBGRAPH,16874,16927
seed,394,Subgraph 969,1,0,SUBGRAPH,16874,16950
seed,395,Subgraph 160,1,0,SUBGRAPH,16918,16931
seed,396,Subgraph 161,1,0,SUBGRAPH,16931,16946
seed,397,Subgraph 970,1,0,SUBGRAPH,16950,17012
seed,398,Subgraph 1920,1,0,SUBGRAPH,12367,17026
seed,399,Subgraph 257,1,0,SUBGRAPH,12518,17007
seed,400,Subgraph 258,1,0,SUBGRAPH,17007,17020
seed,401,Subgraph 1921,1,0,SUBGRAPH,17026,17097
seed,402,Subgraph 1924,1,0,SUBGRAPH,17026,17102
seed,403,Subgraph 259,1,0,SUBGRAPH,17070,17083
seed,404,Subgraph 263,1,0,SUBGRAPH,12670,17096
seed,405,Subgraph 1925,1,0,SUBGRAPH,17102,17171
seed,406,Subgraph 1928,1,0,SUBGRAPH,17102,17178
seed,407,Subgraph 264,1,0,SUBGRAPH,17146,17159
seed,408,Subgraph 265,1,0,SUBGRAPH,17159,17174
seed,409,Subgraph 1929,1,0,SUBGRAPH,17178,17237
seed,410,Subgraph 1932,1,0,SUBGRAPH,17178,17254
seed,411,Subgraph 364,1,0,SUBGRAPH,12898,17235
seed,412,Subgraph 365,1,0,SUBGRAPH,17235,17248
seed,413,Subgraph 101,1,0,SUBGRAPH,12899,17541
seed,414,Subgraph 1933,1,0,SUBGRAPH,17254,17550
seed,415,Subgraph 366,1,0,SUBGRAPH,17298,17551
seed,416,Subgraph 462,1,0,SUBGRAPH,13050,17324
seed,417,Subgraph 463,1,0,SUBGRAPH,17324,17337
seed,418,Subgraph 464,1,0,SUBGRAPH,17337,17350
seed,419,Subgraph 468,1,0,SUBGRAPH,13202,17363
seed,420,Subgraph 469,1,0,SUBGRAPH,17363,17376
seed,421,Subgraph 470,1,0,SUBGRAPH,17376,17552
seed,422,Subgraph 566,1,0,SUBGRAPH,13354,17402
seed,423,Subgraph 567,1,0,SUBGRAPH,17402,17415
seed,424,Subgraph 568,1,0,SUBGRAPH,17415,17428
seed,425,Subgraph 572,1,0,SUBGRAPH,13506,17441
seed,426,Subgraph 573,1,0,SUBGRAPH,17441,17454
seed,427,Subgraph 574,1,0,SUBGRAPH,17454,17553
