Thu Sep 24 23:20:40 2026    ${REPO_ROOT}/results/a/q2-nikolastarx/constructor-profile-20260924/014-k4/profile.pstats

         10503600 function calls (10324751 primitive calls) in 2.441 seconds

   Ordered by: internal time
   List reduced from 383 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.007    0.002    0.062    0.021 encoder.py:183(encode)
   148701    0.007    0.000    0.007    0.000 {built-in method math.ceil}
   157906    0.006    0.000    0.006    0.000 {method 'popleft' of 'collections.deque' objects}
   154664    0.006    0.000    0.006    0.000 {method 'append' of 'collections.deque' objects}
   142820    0.006    0.000    0.006    0.000 dag_direct.py:161(<lambda>)
        1    0.005    0.005    2.431    2.431 direct_solve.py:42(main)
        1    0.005    0.005    2.440    2.440 direct_solve.py:1(<module>)
        5    0.004    0.001    0.026    0.005 {built-in method builtins.any}
    35708    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
    39568    0.004    0.000    0.004    0.000 {built-in method _heapq.heappush}
108772/108752    0.003    0.000    0.003    0.000 {built-in method builtins.len}
    35706    0.003    0.000    0.005    0.000 stub_multicore_cut_and_schedule.py:162(<genexpr>)
    70214    0.003    0.000    0.003    0.000 dag_direct.py:51(<genexpr>)
        1    0.003    0.003    2.317    2.317 direct_solve.py:26(build)
    35706    0.003    0.000    0.005    0.000 stub_multicore_cut_and_schedule.py:128(<genexpr>)
        6    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
    35705    0.002    0.000    0.002    0.000 {method 'remove' of 'set' objects}
        4    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
     3244    0.002    0.000    0.002    0.000 evaluation_validation.py:127(<genexpr>)
        2    0.002    0.001    0.002    0.001 {built-in method builtins.compile}
    35757    0.002    0.000    0.002    0.000 {built-in method _json.encode_basestring}
    35705    0.001    0.000    0.001    0.000 {method 'isdecimal' of 'str' objects}
    35705    0.001    0.000    0.001    0.000 {method 'isascii' of 'str' objects}
    35706    0.001    0.000    0.001    0.000 stub_multicore_cut_and_schedule.py:153(<genexpr>)
      109    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        3    0.001    0.000    0.063    0.021 __init__.py:183(dumps)
    15922    0.001    0.000    0.001    0.000 stub_multicore_cut_and_schedule.py:207(<genexpr>)
        2    0.001    0.000    0.001    0.000 {built-in method _heapq.heapify}
        9    0.001    0.000    0.001    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       13    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       45    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     2703    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
      193    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       21    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
       24    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
       18    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
      8/6    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
       27    0.000    0.000    0.000    0.000 evaluation_validation.py:29(_iter_settings)
        2    0.000    0.000    0.064    0.032 direct_solve.py:22(dump)
     16/5    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       27    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
        8    0.000    0.000    0.000    0.000 argparse.py:1451(add_argument)
       26    0.000    0.000    0.000    0.000 pathlib.py:1157(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      7/5    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    2.441    2.441 <frozen runpy>:201(run_module)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
       26    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
       25    0.000    0.000    0.000    0.000 __init__.py:280(_compile)
      108    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       21    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        2    0.000    0.000    0.001    0.000 pathlib.py:1039(write_text)
        1    0.000    0.000    0.000    0.000 argparse.py:1954(_parse_known_args)


