case_id,status,row_count,row_ops,graph_M_cycles,graph_V_cycles,rows_M_cycles,rows_V_cycles,rows_fraction_graph_M,rows_fraction_graph_V,reason,input_sha256,source_sha256
012,unsupported,,,35572,32237,,,,,no closed attention query row matched,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
013,unsupported,,,263712,43296,,,,,no closed attention query row matched,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
014,unsupported,,,17225748,1651424,,,,,no closed attention query row matched,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
015,unsupported,,,94980,101497,,,,,no closed attention query row matched,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
016,unsupported,,,0,7714975,,,,,no closed attention query row matched,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
017,unsupported,,,110600,67202,,,,,no closed attention query row matched,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
018,unsupported,,,971320,112731,,,,,no closed attention query row matched,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
019,unsupported,,,48436,40276,,,,,no closed attention query row matched,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
020,unsupported,,,0,532608,,,,,no closed attention query row matched,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
021,unsupported,,,6192000,783360,,,,,no closed attention query row matched,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
022,unsupported,,,4484,54087,,,,,no closed attention query row matched,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
023,unsupported,,,63384,69558,,,,,no closed attention query row matched,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
024,unsupported,,,0,2554795,,,,,no closed attention query row matched,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
025,unsupported,,,4702824,1215696,,,,,no closed attention query row matched,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
026,unsupported,,,40992,70768,,,,,no closed attention query row matched,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
027,unsupported,,,2229120,287232,,,,,no closed attention query row matched,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
028,unsupported,,,38974608,1975536,,,,,no closed attention query row matched,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
029,unsupported,,,0,37485,,,,,no closed attention query row matched,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
030,unsupported,,,2776480,406822,,,,,no closed attention query row matched,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
031,recognized,36,1584,1334492,221025,17856,38304,0.013380372456335445,0.17330166270783848,,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
032,unsupported,,,10150,33995,,,,,no closed attention query row matched,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
033,unsupported,,,1728108,192042,,,,,no closed attention query row matched,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
034,unsupported,,,749160,194956,,,,,no closed attention query row matched,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
035,recognized,32,1408,62192,143909,28160,51840,0.45279135580138924,0.36022764385827155,,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
036,unsupported,,,931200,121600,,,,,no closed attention query row matched,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
037,unsupported,,,209600,28880,,,,,no closed attention query row matched,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
038,unsupported,,,1325000,167776,,,,,no closed attention query row matched,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
039,unsupported,,,1377880,98420,,,,,no closed attention query row matched,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
040,recognized,25,1400,111972,185751,34360,40240,0.30686242989318757,0.2166340961825239,,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
041,unsupported,,,5895240,607750,,,,,no closed attention query row matched,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
042,unsupported,,,1599076,226026,,,,,no closed attention query row matched,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
043,recognized,72,6192,517752,343841,176160,212496,0.340240114958513,0.6180065786220956,,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
044,unsupported,,,74404,9988,,,,,no closed attention query row matched,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
045,unsupported,,,0,125476,,,,,no closed attention query row matched,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
046,unsupported,,,209248,18400,,,,,no closed attention query row matched,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
047,recognized,140,11200,153760,259370,77600,199000,0.5046826222684704,0.7672437059027644,,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
048,recognized,27,864,139536,120060,50544,57060,0.3622291021671827,0.4752623688155922,,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
049,recognized,32,2944,95464,165715,63744,114560,0.667728148830973,0.691307365054461,,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
050,recognized,32,2944,51968,133411,31744,68800,0.6108374384236454,0.5156996049800991,,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
051,unsupported,,,0,607080,,,,,no closed attention query row matched,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
052,unsupported,,,141528,62595,,,,,no closed attention query row matched,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
053,recognized,105,8400,1212726,344076,121680,196350,0.10033593738404223,0.5706588079377812,,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
054,recognized,126,13104,574216,440672,167216,343364,0.2912074898644413,0.7791827027812069,,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
055,unsupported,,,61796,69049,,,,,no closed attention query row matched,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
056,recognized,54,5616,131016,245953,98064,184896,0.748488734200403,0.7517533837765752,,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
057,unsupported,,,14062,47565,,,,,no closed attention query row matched,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
058,unsupported,,,4358970,310080,,,,,no closed attention query row matched,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
059,unsupported,,,737792,102144,,,,,no closed attention query row matched,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
060,unsupported,,,720232,273539,,,,,no closed attention query row matched,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
061,unsupported,,,71456,27572,,,,,no closed attention query row matched,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
062,unsupported,,,2618400,392688,,,,,no closed attention query row matched,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
063,unsupported,,,981600,147168,,,,,no closed attention query row matched,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
064,recognized,12,528,7308,15744,3504,9150,0.4794745484400657,0.5811737804878049,,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
065,unsupported,,,28260,29518,,,,,no closed attention query row matched,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
066,recognized,57,4488,269694,170683,81912,110976,0.3037219960399564,0.6501877749980959,,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
067,unsupported,,,58915232,2360608,,,,,no closed attention query row matched,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
068,recognized,72,3168,249101,154696,35136,58428,0.1410512201877953,0.37769560945337954,,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
069,recognized,12,816,16674,15288,7008,10768,0.4202950701691256,0.7043432757718472,,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
070,unsupported,,,91832,47214,,,,,no closed attention query row matched,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
071,recognized,10,560,12534,10954,4656,7262,0.3714696026807085,0.6629541719919664,,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
072,recognized,45,4680,22928094,1708199,62640,103950,0.0027320195041070573,0.06085356565599207,,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
073,unsupported,,,8160672,428064,,,,,no closed attention query row matched,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
074,unsupported,,,1579424,198420,,,,,no closed attention query row matched,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
075,recognized,100,5600,1107520,644660,393920,411120,0.3556775498410864,0.6377315173890112,,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
076,unsupported,,,6061644,947248,,,,,no closed attention query row matched,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
077,recognized,50,2704,415406,136672,25440,49748,0.061241291652022356,0.36399555139311635,,b14c3c29f9427de1db1d12c6ebf5d15914a99299298d20a908d97285947e67b6,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
078,unsupported,,,2037888,103296,,,,,no closed attention query row matched,d30ea13a65ed4d85fd62753d3e300a04c17fdbe592b6ca19c52a3a744e4affdd,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
079,unsupported,,,29424384,3760128,,,,,no closed attention query row matched,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
080,unsupported,,,289044,20520,,,,,no closed attention query row matched,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
081,unsupported,,,0,151725,,,,,no closed attention query row matched,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
082,recognized,42,3360,567936,359766,254112,257400,0.44743069641649763,0.7154650522839846,,f230fbc200ad75797f3024f84431d1d26f7747d6a284378ee83eabde77b7e70c,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
083,unsupported,,,810836,71300,,,,,no closed attention query row matched,26bebaecfa0ed9c4bcf57127779a198c367a5576eb7b40b9c56cc343621c5549,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
084,unsupported,,,1266552,1240704,,,,,no closed attention query row matched,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
085,recognized,162,16848,2565216,1724706,1324512,1320696,0.5163354664870327,0.7657513802352401,,b63169e9cd0f21dc2da6617e7138472e95937465c703b7e4bf4dbc80125ed4f6,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
086,recognized,48,4416,79182,78060,39456,59532,0.4982950670606956,0.7626441199077633,,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
087,recognized,240,17760,3593280,882784,297984,436296,0.08292813251402618,0.4942273534635879,,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
088,recognized,48,2112,173608,99744,23424,38952,0.13492465784986868,0.39051973051010586,,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
089,unsupported,,,589120,109760,,,,,no closed attention query row matched,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
090,unsupported,,,840528,59280,,,,,no closed attention query row matched,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
091,unsupported,,,8981360,931710,,,,,no closed attention query row matched,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
092,unsupported,,,3714152,326600,,,,,no closed attention query row matched,ddb267b7178d1b240f76fb7ed508799fbc7621b45156064b2a229c5c0d90996d,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
093,unsupported,,,73968,12144,,,,,no closed attention query row matched,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
094,unsupported,,,70944,36616,,,,,no closed attention query row matched,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
095,unsupported,,,1069992,1014552,,,,,no closed attention query row matched,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
096,unsupported,,,40144,53130,,,,,no closed attention query row matched,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
097,unsupported,,,10303488,1331712,,,,,no closed attention query row matched,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
098,unsupported,,,17296,162701,,,,,no closed attention query row matched,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
099,unsupported,,,1595484,144720,,,,,no closed attention query row matched,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
100,unsupported,,,62556,102007,,,,,no closed attention query row matched,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
